hiring_manager: amac; similarity_score: 27.5779
hiring_manager: frabcus; similarity_score: 27.3529
hiring_manager: 7parkdata; similarity_score: 26.5625
hiring_manager: realdlee; similarity_score: 25.9336
hiring_manager: chrisdl; similarity_score: 24.9150
hiring_manager: feverishaaron; similarity_score: 24.8974
hiring_manager: maramaemartin; similarity_score: 24.5528
hiring_manager: morgante; similarity_score: 23.9488
hiring_manager: frb; similarity_score: 23.6869
hiring_manager: emcienjobs; similarity_score: 23.6530
hiring_manager: edziubudzik; similarity_score: 23.4432
hiring_manager: samingrassia; similarity_score: 22.6053
hiring_manager: lesleyann25; similarity_score: 22.4867
hiring_manager: yegg; similarity_score: 22.3577
hiring_manager: darrenkopp; similarity_score: 22.2080
hiring_manager: hglaser; similarity_score: 21.9391
hiring_manager: mattnguyen; similarity_score: 21.9154
hiring_manager: Equiet; similarity_score: 21.6699
hiring_manager: lsee; similarity_score: 21.5238
hiring_manager: fchollet; similarity_score: 21.2927
hiring_manager: salar; similarity_score: 21.0601
hiring_manager: artursapek; similarity_score: 21.0237
hiring_manager: milewska; similarity_score: 20.8774
hiring_manager: brettz; similarity_score: 20.8747
hiring_manager: ninetax; similarity_score: 20.8571
hiring_manager: untilHellbanned; similarity_score: 20.6373
hiring_manager: encore2097; similarity_score: 20.3065
hiring_manager: darrennix; similarity_score: 20.1657
hiring_manager: joanatello; similarity_score: 20.1405
hiring_manager: zacharypinter; similarity_score: 20.0152
hiring_manager: jack7890; similarity_score: 19.9152
hiring_manager: Symbol; similarity_score: 19.7898
hiring_manager: mandoescamilla; similarity_score: 19.7667
hiring_manager: burnout1540; similarity_score: 19.75
hiring_manager: PhantomPhreak; similarity_score: 19.6405
hiring_manager: rfergie; similarity_score: 19.6120
hiring_manager: S4M; similarity_score: 19.5826
hiring_manager: FreshPuzzles; similarity_score: 19.4732
hiring_manager: jszumski; similarity_score: 19.4656
hiring_manager: dannysu; similarity_score: 19.4348
hiring_manager: reubendoetsch; similarity_score: 19.4202
hiring_manager: geverett; similarity_score: 19.1419
hiring_manager: kefeizhou; similarity_score: 19.0591
hiring_manager: choult; similarity_score: 19.0262
hiring_manager: dalys; similarity_score: 19.0163
hiring_manager: cwc22; similarity_score: 19.0045
hiring_manager: roybarberuk; similarity_score: 18.9821
hiring_manager: joshcanhelp; similarity_score: 18.9035
hiring_manager: drpancake; similarity_score: 18.8717
hiring_manager: johnnyg; similarity_score: 18.8481
hiring_manager: dangoldin; similarity_score: 18.8277
hiring_manager: mrw34; similarity_score: 18.7452
hiring_manager: zerr; similarity_score: 18.7399
hiring_manager: clieu1; similarity_score: 18.7079
hiring_manager: chollida1; similarity_score: 18.6454
hiring_manager: uwemaurer; similarity_score: 18.3376
hiring_manager: arobbins; similarity_score: 18.3018
hiring_manager: beaverfox; similarity_score: 18.24
hiring_manager: pohungc; similarity_score: 18.1818
hiring_manager: peter_mcrae; similarity_score: 18.1666
hiring_manager: DustinCalim; similarity_score: 18.1451
hiring_manager: pandamcbonesaw; similarity_score: 17.9395
hiring_manager: conversica; similarity_score: 17.7434
hiring_manager: JJMalina; similarity_score: 17.5629
hiring_manager: ugh123; similarity_score: 17.5595
hiring_manager: klochner; similarity_score: 17.4655
hiring_manager: manpageman; similarity_score: 17.4045
hiring_manager: wdewind; similarity_score: 17.3199
hiring_manager: cllns; similarity_score: 17.3076
hiring_manager: carlatqueue; similarity_score: 17.2307
hiring_manager: brendan_gill; similarity_score: 17.2273
hiring_manager: olivercameron; similarity_score: 17.1601
hiring_manager: andrewmb; similarity_score: 17.1428
hiring_manager: greenjellybean; similarity_score: 17.0886
hiring_manager: doxcf434; similarity_score: 17.0500
