hiring_manager: yonibaciu1; similarity_score: 29.1066
hiring_manager: 7parkdata; similarity_score: 25.9829
hiring_manager: alexk; similarity_score: 25.7622
hiring_manager: ehberger; similarity_score: 25.3054
hiring_manager: lesleyann25; similarity_score: 24.8543
hiring_manager: cwc22; similarity_score: 24.6018
hiring_manager: geori; similarity_score: 24.5006
hiring_manager: samingrassia; similarity_score: 24.4309
hiring_manager: murtza; similarity_score: 24.3464
hiring_manager: FUSAR_rs; similarity_score: 24.2299
hiring_manager: choult; similarity_score: 24.1143
hiring_manager: kevinschumacher; similarity_score: 23.7964
hiring_manager: roybarberuk; similarity_score: 23.5764
hiring_manager: clieu1; similarity_score: 23.2954
hiring_manager: chollida1; similarity_score: 23.2831
hiring_manager: rfergie; similarity_score: 23.1281
hiring_manager: loganfrederick; similarity_score: 23.0366
hiring_manager: mmelin; similarity_score: 22.7746
hiring_manager: edziubudzik; similarity_score: 22.6898
hiring_manager: peter_mcrae; similarity_score: 22.6594
hiring_manager: matlock; similarity_score: 22.4196
hiring_manager: espinchi; similarity_score: 22.2370
hiring_manager: sciurus; similarity_score: 22.0872
hiring_manager: annalewis7; similarity_score: 21.9797
hiring_manager: morgante; similarity_score: 21.7836
hiring_manager: drpancake; similarity_score: 21.6172
hiring_manager: scottaj2; similarity_score: 21.5929
hiring_manager: davidw; similarity_score: 21.4936
hiring_manager: marybheine; similarity_score: 21.4071
hiring_manager: hafabnew; similarity_score: 21.3962
hiring_manager: alphast0rm; similarity_score: 21.3527
hiring_manager: wiredd; similarity_score: 21.2962
hiring_manager: jason_allen; similarity_score: 21.2646
hiring_manager: salar; similarity_score: 21.1976
hiring_manager: Mynar; similarity_score: 21.1646
hiring_manager: bostik; similarity_score: 21.1355
hiring_manager: baran; similarity_score: 21.1132
hiring_manager: darrenkopp; similarity_score: 21.0755
hiring_manager: uwemaurer; similarity_score: 20.8188
hiring_manager: statictype; similarity_score: 20.7433
hiring_manager: jhmaddox; similarity_score: 20.7053
hiring_manager: brettz; similarity_score: 20.625
hiring_manager: azinman2; similarity_score: 20.5790
hiring_manager: milewska; similarity_score: 20.5347
hiring_manager: rasengan; similarity_score: 20.5329
hiring_manager: greenjellybean; similarity_score: 20.5298
hiring_manager: wattenberger; similarity_score: 20.3961
hiring_manager: mikebabineau; similarity_score: 20.3861
hiring_manager: reubendoetsch; similarity_score: 20.3319
hiring_manager: S4M; similarity_score: 20.2898
hiring_manager: darrennix; similarity_score: 20.2404
hiring_manager: eugeneiiim; similarity_score: 20.1815
hiring_manager: ssk2; similarity_score: 19.9879
hiring_manager: jszumski; similarity_score: 19.9697
hiring_manager: toreriklinnerud; similarity_score: 19.9561
hiring_manager: JayNeely; similarity_score: 19.9507
hiring_manager: ndonnellan; similarity_score: 19.9451
hiring_manager: JJMalina; similarity_score: 19.9043
hiring_manager: spooneybarger; similarity_score: 19.8558
hiring_manager: bowmanb; similarity_score: 19.8388
hiring_manager: zeiler; similarity_score: 19.8223
hiring_manager: breckognize; similarity_score: 19.7955
hiring_manager: mrw34; similarity_score: 19.7871
hiring_manager: imdane; similarity_score: 19.7841
hiring_manager: realdlee; similarity_score: 19.7092
hiring_manager: yesimahuman; similarity_score: 19.6606
hiring_manager: propellerhat; similarity_score: 19.5664
hiring_manager: wdewind; similarity_score: 19.5477
hiring_manager: myom; similarity_score: 19.4186
hiring_manager: djyoo; similarity_score: 19.3816
hiring_manager: austinhallock; similarity_score: 19.3075
hiring_manager: asolove; similarity_score: 19.1930
hiring_manager: edent; similarity_score: 19.1489
hiring_manager: cjbarber; similarity_score: 19.1446
hiring_manager: ninetax; similarity_score: 19.0965
hiring_manager: omarish; similarity_score: 19.0866
hiring_manager: ivanzhao; similarity_score: 19.0476
hiring_manager: justhw; similarity_score: 19.0260
hiring_manager: nkoren; similarity_score: 18.9485
hiring_manager: noobuser123; similarity_score: 18.9213
hiring_manager: timanglade; similarity_score: 18.8811
hiring_manager: chrisdl; similarity_score: 18.8418
hiring_manager: dalys; similarity_score: 18.7782
hiring_manager: Equiet; similarity_score: 18.75
hiring_manager: clarkevans; similarity_score: 18.7399
hiring_manager: AaronLasseigne; similarity_score: 18.6622
hiring_manager: svec; similarity_score: 18.6395
hiring_manager: frb; similarity_score: 18.6345
hiring_manager: jack7890; similarity_score: 18.5550
hiring_manager: soundandfeury; similarity_score: 18.5224
hiring_manager: hglaser; similarity_score: 18.4943
hiring_manager: nschuett; similarity_score: 18.4862
hiring_manager: gnidan; similarity_score: 18.4049
hiring_manager: klochner; similarity_score: 18.3639
hiring_manager: bsnyder; similarity_score: 18.2998
hiring_manager: jakestein; similarity_score: 18.2539
hiring_manager: samuelbrin; similarity_score: 18.1818
hiring_manager: johnnyg; similarity_score: 18.1690
hiring_manager: gsiener; similarity_score: 18.1626
hiring_manager: kefeizhou; similarity_score: 18.1323
hiring_manager: burnout1540; similarity_score: 18.0633
hiring_manager: untilHellbanned; similarity_score: 18.0064
hiring_manager: mrbird; similarity_score: 17.9856
hiring_manager: carlatqueue; similarity_score: 17.9343
hiring_manager: ashleyjohn; similarity_score: 17.9001
hiring_manager: thethimble; similarity_score: 17.8991
hiring_manager: sidjoshi; similarity_score: 17.8820
hiring_manager: Renat; similarity_score: 17.8326
hiring_manager: davidshariff; similarity_score: 17.8117
hiring_manager: mapdock; similarity_score: 17.7959
hiring_manager: hseikaly; similarity_score: 17.7639
hiring_manager: rvivek; similarity_score: 17.7403
hiring_manager: tianyicui; similarity_score: 17.7019
hiring_manager: DustinCalim; similarity_score: 17.6935
hiring_manager: axiom; similarity_score: 17.6870
hiring_manager: lsee; similarity_score: 17.6737
hiring_manager: noahbrier; similarity_score: 17.6653
hiring_manager: fchollet; similarity_score: 17.6470
hiring_manager: Theranos; similarity_score: 17.5498
hiring_manager: iis_zephyr; similarity_score: 17.5028
hiring_manager: sridevizarin; similarity_score: 17.5022
hiring_manager: EmilLondon; similarity_score: 17.4518
hiring_manager: Andrew_Metail; similarity_score: 17.3760
hiring_manager: santiycr; similarity_score: 17.3655
hiring_manager: escherize; similarity_score: 17.3594
hiring_manager: edawerd; similarity_score: 17.3497
hiring_manager: tair; similarity_score: 17.2551
hiring_manager: mandoescamilla; similarity_score: 17.2530
hiring_manager: jlees; similarity_score: 17.2517
hiring_manager: retrodict; similarity_score: 17.2434
hiring_manager: infer; similarity_score: 17.2115
hiring_manager: yegg; similarity_score: 17.1701
hiring_manager: jkoc; similarity_score: 17.1536
hiring_manager: pashabitz; similarity_score: 17.1508
hiring_manager: zaidos; similarity_score: 17.1386
hiring_manager: astralship; similarity_score: 17.0731
hiring_manager: dbuxton; similarity_score: 17.0623
hiring_manager: pwman; similarity_score: 17.0515
hiring_manager: knes; similarity_score: 17.0040
hiring_manager: meritt; similarity_score: 16.9555
hiring_manager: RaizlabsTalent; similarity_score: 16.8910
hiring_manager: martinshen; similarity_score: 16.8776
hiring_manager: sam; similarity_score: 16.8421
hiring_manager: grydstedt; similarity_score: 16.8202
hiring_manager: geverett; similarity_score: 16.8181
hiring_manager: FreshPuzzles; similarity_score: 16.7648
hiring_manager: jhdavids8; similarity_score: 16.6824
hiring_manager: zacharypinter; similarity_score: 16.6771
hiring_manager: woodhull; similarity_score: 16.6666
hiring_manager: jorgecastillo; similarity_score: 16.6501
hiring_manager: TheMakeA; similarity_score: 16.6371
hiring_manager: daveoflynn; similarity_score: 16.6144
hiring_manager: chrisduesing; similarity_score: 16.5388
hiring_manager: artursapek; similarity_score: 16.5204
hiring_manager: Cyranix; similarity_score: 16.5094
hiring_manager: ugh123; similarity_score: 16.4904
hiring_manager: d0m; similarity_score: 16.4859
hiring_manager: sb_ba; similarity_score: 16.4843
hiring_manager: sinak; similarity_score: 16.4303
hiring_manager: vtuulos; similarity_score: 16.4271
hiring_manager: jasoncrawford; similarity_score: 16.4102
hiring_manager: fortpoint; similarity_score: 16.4065
hiring_manager: matm; similarity_score: 16.3934
hiring_manager: lbo; similarity_score: 16.3669
hiring_manager: snowmaker; similarity_score: 16.3643
hiring_manager: georgespencer; similarity_score: 16.3465
hiring_manager: sethbannon; similarity_score: 16.2467
