hiring_manager: edziubudzik; similarity_score: 28.3828
hiring_manager: frabcus; similarity_score: 26.9807
hiring_manager: lesleyann25; similarity_score: 26.1510
hiring_manager: geverett; similarity_score: 25.9541
hiring_manager: joshcanhelp; similarity_score: 25.9493
hiring_manager: imdane; similarity_score: 25.6
hiring_manager: untilHellbanned; similarity_score: 25.1121
hiring_manager: doxcf434; similarity_score: 24.7148
hiring_manager: feverishaaron; similarity_score: 24.7104
hiring_manager: st8machine; similarity_score: 24.4514
hiring_manager: murtza; similarity_score: 24.4233
hiring_manager: 7parkdata; similarity_score: 24.3045
hiring_manager: HeyLaughingBoy; similarity_score: 24.2811
hiring_manager: ninetax; similarity_score: 23.8193
hiring_manager: kefeizhou; similarity_score: 23.3766
hiring_manager: milewska; similarity_score: 22.3214
hiring_manager: miles932; similarity_score: 22.2222
hiring_manager: vaughnd; similarity_score: 21.8181
hiring_manager: drpancake; similarity_score: 21.5223
hiring_manager: chrisdl; similarity_score: 21.4925
hiring_manager: yavery; similarity_score: 21.4669
hiring_manager: S4M; similarity_score: 21.4634
hiring_manager: khwang; similarity_score: 21.4532
hiring_manager: rememberlenny; similarity_score: 21.4463
hiring_manager: ivanzhao; similarity_score: 21.3406
hiring_manager: toreriklinnerud; similarity_score: 21.1764
hiring_manager: darrennix; similarity_score: 21.1350
hiring_manager: k1w1; similarity_score: 20.8416
hiring_manager: manpageman; similarity_score: 20.8144
hiring_manager: hrehhf; similarity_score: 20.5980
hiring_manager: fractalsea; similarity_score: 20.5673
hiring_manager: ugh123; similarity_score: 20.4793
hiring_manager: mmelin; similarity_score: 20.2631
hiring_manager: damon_c; similarity_score: 20.2416
hiring_manager: encore2097; similarity_score: 20.2166
hiring_manager: morgante; similarity_score: 20.2043
hiring_manager: greenjellybean; similarity_score: 20.0477
hiring_manager: amac; similarity_score: 19.9677
hiring_manager: smikhanov; similarity_score: 19.9335
hiring_manager: papaonlegs; similarity_score: 19.6226
hiring_manager: wdewind; similarity_score: 19.4570
hiring_manager: zerr; similarity_score: 19.2118
hiring_manager: BillFranklin; similarity_score: 19.0476
hiring_manager: wattenberger; similarity_score: 18.9497
hiring_manager: lsee; similarity_score: 18.8769
hiring_manager: zacharypinter; similarity_score: 18.7956
hiring_manager: g06; similarity_score: 18.7891
hiring_manager: brettz; similarity_score: 18.6633
hiring_manager: jerematasno; similarity_score: 18.6335
hiring_manager: emcienjobs; similarity_score: 18.6131
hiring_manager: pwman; similarity_score: 18.4663
hiring_manager: beaverfox; similarity_score: 18.4466
hiring_manager: edawerd; similarity_score: 18.4237
hiring_manager: burnout1540; similarity_score: 18.3986
hiring_manager: chollida1; similarity_score: 18.2341
hiring_manager: yegg; similarity_score: 18.1582
hiring_manager: samingrassia; similarity_score: 18.0505
hiring_manager: robg; similarity_score: 17.9611
hiring_manager: RaizlabsTalent; similarity_score: 17.9598
hiring_manager: roybarberuk; similarity_score: 17.8988
hiring_manager: andrewmb; similarity_score: 17.7057
hiring_manager: rfergie; similarity_score: 17.6223
hiring_manager: Equiet; similarity_score: 17.4022
hiring_manager: Blackthorn; similarity_score: 17.2523
hiring_manager: jszumski; similarity_score: 17.2455
hiring_manager: jack7890; similarity_score: 16.9630
hiring_manager: frb; similarity_score: 16.8865
hiring_manager: frisco; similarity_score: 16.8674
hiring_manager: biomimic; similarity_score: 16.8359
hiring_manager: matlock; similarity_score: 16.5983
hiring_manager: wiredd; similarity_score: 16.4383
hiring_manager: dangoldin; similarity_score: 16.4293
hiring_manager: unclesaamm; similarity_score: 16.3398
hiring_manager: mattnguyen; similarity_score: 16.2790
hiring_manager: xasos; similarity_score: 16.2162
hiring_manager: fuckthepoor; similarity_score: 16.1812
hiring_manager: timanglade; similarity_score: 16.1725
hiring_manager: dalys; similarity_score: 16.1209
hiring_manager: nschuett; similarity_score: 16.1033
hiring_manager: Renat; similarity_score: 16.0659
hiring_manager: kdavari; similarity_score: 16.0
hiring_manager: johnnyg; similarity_score: 15.8628
hiring_manager: Andrew_Metail; similarity_score: 15.7980
hiring_manager: cwc22; similarity_score: 15.7421
hiring_manager: jorgecastillo; similarity_score: 15.7088
hiring_manager: choult; similarity_score: 15.5080
hiring_manager: ehberger; similarity_score: 15.4779
hiring_manager: alexk; similarity_score: 15.3571
hiring_manager: fourier; similarity_score: 15.2777
hiring_manager: svec; similarity_score: 15.1941
hiring_manager: DustinCalim; similarity_score: 15.1476
hiring_manager: cllns; similarity_score: 15.0851
hiring_manager: marybheine; similarity_score: 15.0765
hiring_manager: edent; similarity_score: 15.0110
hiring_manager: geori; similarity_score: 14.9753
hiring_manager: spooneybarger; similarity_score: 14.9606
hiring_manager: chrisduesing; similarity_score: 14.9365
hiring_manager: mandoescamilla; similarity_score: 14.8614
hiring_manager: eric_romo; similarity_score: 14.7878
hiring_manager: gsiener; similarity_score: 14.7832
hiring_manager: PhantomPhreak; similarity_score: 14.7211
hiring_manager: pohungc; similarity_score: 14.7058
hiring_manager: fuelfive; similarity_score: 14.6976
hiring_manager: peter_mcrae; similarity_score: 14.5896
hiring_manager: fchollet; similarity_score: 14.5411
hiring_manager: florianf; similarity_score: 14.5240
hiring_manager: meaydinli; similarity_score: 14.4668
hiring_manager: olivercameron; similarity_score: 14.4244
hiring_manager: spot; similarity_score: 14.3790
hiring_manager: darrenkopp; similarity_score: 14.3279
hiring_manager: reubendoetsch; similarity_score: 14.2557
hiring_manager: asanwal; similarity_score: 14.2099
hiring_manager: BGCivis; similarity_score: 14.1909
hiring_manager: hglaser; similarity_score: 14.1666
hiring_manager: maramaemartin; similarity_score: 14.1592
hiring_manager: realdlee; similarity_score: 14.1145
hiring_manager: grinich; similarity_score: 14.0939
hiring_manager: ogennadi; similarity_score: 14.0740
hiring_manager: dannysu; similarity_score: 13.8933
hiring_manager: OpenDrapery; similarity_score: 13.7184
hiring_manager: jhmaddox; similarity_score: 13.6900
hiring_manager: rasengan; similarity_score: 13.6882
hiring_manager: carlatqueue; similarity_score: 13.6482
hiring_manager: grydstedt; similarity_score: 13.6108
hiring_manager: sidjoshi; similarity_score: 13.5779
hiring_manager: salar; similarity_score: 13.5249
hiring_manager: austinhallock; similarity_score: 13.3990
hiring_manager: cjbarber; similarity_score: 13.3874
hiring_manager: baran; similarity_score: 13.3828
hiring_manager: DLarsen; similarity_score: 13.2921
hiring_manager: Bahamut; similarity_score: 13.2457
hiring_manager: sam; similarity_score: 13.2018
hiring_manager: Mynar; similarity_score: 13.1531
hiring_manager: FUSAR_rs; similarity_score: 13.1416
hiring_manager: myom; similarity_score: 13.1386
hiring_manager: justhw; similarity_score: 13.1313
hiring_manager: davidshariff; similarity_score: 13.1258
hiring_manager: joanatello; similarity_score: 13.1086
hiring_manager: FreshPuzzles; similarity_score: 13.0769
hiring_manager: soundandfeury; similarity_score: 13.0340
hiring_manager: biggitybones; similarity_score: 13.0123
hiring_manager: YelpEngineering; similarity_score: 12.9516
hiring_manager: ben336; similarity_score: 12.9345
hiring_manager: knes; similarity_score: 12.8824
hiring_manager: sid6376; similarity_score: 12.8571
hiring_manager: d0m; similarity_score: 12.8224
hiring_manager: axiom; similarity_score: 12.7433
