hiring_manager: khwang; similarity_score: 40.7079
hiring_manager: ogennadi; similarity_score: 36.1702
hiring_manager: curiousDog; similarity_score: 35.5140
hiring_manager: fourier; similarity_score: 33.9285
hiring_manager: OpenDrapery; similarity_score: 33.6633
hiring_manager: siscia; similarity_score: 33.3333
hiring_manager: plaban123; similarity_score: 33.0434
hiring_manager: sid6376; similarity_score: 32.6923
hiring_manager: quinthar; similarity_score: 31.7757
hiring_manager: xasos; similarity_score: 31.3253
hiring_manager: nathanwdavis; similarity_score: 30.9090
hiring_manager: dalys; similarity_score: 30.7692
hiring_manager: HeyLaughingBoy; similarity_score: 29.1970
hiring_manager: Cyranix; similarity_score: 28.1081
hiring_manager: chrisbennet; similarity_score: 27.9069
hiring_manager: grinich; similarity_score: 27.8688
hiring_manager: fapjacks; similarity_score: 27.7227
hiring_manager: geverett; similarity_score: 27.6497
hiring_manager: papaonlegs; similarity_score: 26.9662
hiring_manager: Caleb_Smith; similarity_score: 26.9230
hiring_manager: bohnej; similarity_score: 26.8656
hiring_manager: petrosagg; similarity_score: 26.1437
hiring_manager: vaughnd; similarity_score: 25.9740
hiring_manager: fuckthepoor; similarity_score: 25.5639
hiring_manager: Blackthorn; similarity_score: 24.8175
hiring_manager: fractalsea; similarity_score: 24.5283
hiring_manager: miles932; similarity_score: 24.0963
hiring_manager: timanglade; similarity_score: 23.5897
hiring_manager: ljlolel; similarity_score: 23.3576
hiring_manager: cllns; similarity_score: 22.9787
hiring_manager: bostonpete; similarity_score: 22.2222
hiring_manager: tobinharris; similarity_score: 22.0779
hiring_manager: deepsearch; similarity_score: 21.875
hiring_manager: kbar13; similarity_score: 21.4689
hiring_manager: ninetax; similarity_score: 21.2218
hiring_manager: st8machine; similarity_score: 20.9790
hiring_manager: justhw; similarity_score: 20.9090
hiring_manager: hrehhf; similarity_score: 20.8
hiring_manager: beaverfox; similarity_score: 20.3389
hiring_manager: joshcanhelp; similarity_score: 20.0
hiring_manager: siddarthd2919; similarity_score: 19.7802
hiring_manager: iandanforth; similarity_score: 19.5652
hiring_manager: toreriklinnerud; similarity_score: 18.4738
hiring_manager: unclesaamm; similarity_score: 18.4615
hiring_manager: milewska; similarity_score: 18.3823
hiring_manager: neftaly; similarity_score: 18.1818
