hiring_manager: vaughnd; similarity_score: 26.0869
hiring_manager: BillFranklin; similarity_score: 25.1748
hiring_manager: edent; similarity_score: 24.7191
hiring_manager: hrehhf; similarity_score: 24.5733
hiring_manager: edziubudzik; similarity_score: 24.4147
hiring_manager: st8machine; similarity_score: 23.7942
hiring_manager: geverett; similarity_score: 23.3766
hiring_manager: carlatqueue; similarity_score: 23.0769
hiring_manager: untilHellbanned; similarity_score: 22.8310
hiring_manager: 7parkdata; similarity_score: 22.8148
hiring_manager: rasengan; similarity_score: 22.7912
hiring_manager: rememberlenny; similarity_score: 22.3918
hiring_manager: brettz; similarity_score: 21.9108
hiring_manager: beaverfox; similarity_score: 21.7821
hiring_manager: timanglade; similarity_score: 21.4876
hiring_manager: milewska; similarity_score: 21.3636
hiring_manager: frabcus; similarity_score: 21.3507
hiring_manager: realdlee; similarity_score: 21.2651
hiring_manager: annalewis7; similarity_score: 21.0659
hiring_manager: roybarberuk; similarity_score: 20.9486
hiring_manager: ugh123; similarity_score: 20.8425
hiring_manager: k1w1; similarity_score: 20.3665
hiring_manager: amac; similarity_score: 19.9021
hiring_manager: frisco; similarity_score: 19.5121
hiring_manager: spooneybarger; similarity_score: 19.3633
hiring_manager: lesleyann25; similarity_score: 19.0654
hiring_manager: fuckthepoor; similarity_score: 18.6046
hiring_manager: johnnyg; similarity_score: 18.5945
hiring_manager: axiom; similarity_score: 18.5383
hiring_manager: feverishaaron; similarity_score: 18.4313
hiring_manager: HeyLaughingBoy; similarity_score: 18.3606
hiring_manager: jorgecastillo; similarity_score: 18.2879
hiring_manager: quinthar; similarity_score: 18.1818
hiring_manager: unclesaamm; similarity_score: 18.1208
hiring_manager: papaonlegs; similarity_score: 17.8988
hiring_manager: asanwal; similarity_score: 17.7540
hiring_manager: rfergie; similarity_score: 17.5388
hiring_manager: statictype; similarity_score: 17.5226
hiring_manager: miles932; similarity_score: 17.3652
hiring_manager: sidjoshi; similarity_score: 17.1903
hiring_manager: fapjacks; similarity_score: 17.1003
hiring_manager: reubendoetsch; similarity_score: 17.0575
hiring_manager: ljlolel; similarity_score: 17.0491
hiring_manager: 7Figures2Commas; similarity_score: 17.0
hiring_manager: murtza; similarity_score: 16.7352
hiring_manager: kevinschumacher; similarity_score: 16.6840
hiring_manager: bowmanb; similarity_score: 16.6368
hiring_manager: manpageman; similarity_score: 16.5898
hiring_manager: biomimic; similarity_score: 16.4464
hiring_manager: toreriklinnerud; similarity_score: 16.3069
hiring_manager: darrennix; similarity_score: 16.3021
hiring_manager: yegg; similarity_score: 16.2516
hiring_manager: fractalsea; similarity_score: 16.0583
hiring_manager: edawerd; similarity_score: 15.8926
hiring_manager: ninetax; similarity_score: 15.8663
hiring_manager: Cyranix; similarity_score: 15.8640
hiring_manager: kefeizhou; similarity_score: 15.7894
hiring_manager: espinchi; similarity_score: 15.6901
hiring_manager: yavery; similarity_score: 15.6079
hiring_manager: damon_c; similarity_score: 15.5963
hiring_manager: samingrassia; similarity_score: 15.5528
hiring_manager: matlock; similarity_score: 15.4958
hiring_manager: alphast0rm; similarity_score: 15.3998
hiring_manager: iandanforth; similarity_score: 15.3846
hiring_manager: peter_mcrae; similarity_score: 15.3217
hiring_manager: ogennadi; similarity_score: 15.2671
hiring_manager: lbo; similarity_score: 15.2350
hiring_manager: pohungc; similarity_score: 15.2317
hiring_manager: rrpadhy; similarity_score: 15.1975
hiring_manager: mmelin; similarity_score: 15.1595
hiring_manager: grydstedt; similarity_score: 14.9879
hiring_manager: ivanzhao; similarity_score: 14.9377
hiring_manager: cjbarber; similarity_score: 14.9284
hiring_manager: jsaxton86; similarity_score: 14.8710
hiring_manager: encore2097; similarity_score: 14.8238
hiring_manager: emcienjobs; similarity_score: 14.8148
hiring_manager: chrisdl; similarity_score: 14.8036
hiring_manager: clieu1; similarity_score: 14.7035
hiring_manager: chollida1; similarity_score: 14.7001
hiring_manager: Mynar; similarity_score: 14.5190
hiring_manager: grinich; similarity_score: 14.4827
hiring_manager: maramaemartin; similarity_score: 14.4697
hiring_manager: jdjdjd; similarity_score: 14.4495
hiring_manager: RaizlabsTalent; similarity_score: 14.3985
hiring_manager: petrosagg; similarity_score: 14.3302
hiring_manager: joshcanhelp; similarity_score: 14.2857
hiring_manager: DustinCalim; similarity_score: 14.2671
hiring_manager: imdane; similarity_score: 14.2625
hiring_manager: jhmaddox; similarity_score: 14.2517
hiring_manager: spot; similarity_score: 14.2384
hiring_manager: lsee; similarity_score: 14.2340
hiring_manager: choult; similarity_score: 14.1831
hiring_manager: biggitybones; similarity_score: 14.1268
hiring_manager: ashleyjohn; similarity_score: 14.1025
hiring_manager: austinhallock; similarity_score: 14.1012
hiring_manager: neftaly; similarity_score: 14.0625
hiring_manager: doxcf434; similarity_score: 13.8996
hiring_manager: mburst; similarity_score: 13.8936
hiring_manager: omarish; similarity_score: 13.8499
hiring_manager: eugeneiiim; similarity_score: 13.7880
hiring_manager: jszumski; similarity_score: 13.7847
hiring_manager: propellerhat; similarity_score: 13.6963
hiring_manager: jason_allen; similarity_score: 13.6222
hiring_manager: chrisbennet; similarity_score: 13.5294
hiring_manager: Theranos; similarity_score: 13.4920
hiring_manager: paradox95; similarity_score: 13.4453
hiring_manager: S4M; similarity_score: 13.4328
hiring_manager: plaban123; similarity_score: 13.4275
hiring_manager: jpwagner; similarity_score: 13.3891
hiring_manager: jerematasno; similarity_score: 13.3757
hiring_manager: cwc22; similarity_score: 13.1221
hiring_manager: Renat; similarity_score: 13.0841
hiring_manager: mrw34; similarity_score: 13.0671
hiring_manager: frb; similarity_score: 13.0666
hiring_manager: ben336; similarity_score: 13.0187
hiring_manager: robg; similarity_score: 12.9901
hiring_manager: FreshPuzzles; similarity_score: 12.9844
hiring_manager: soundandfeury; similarity_score: 12.9643
hiring_manager: nkoren; similarity_score: 12.9449
hiring_manager: uwemaurer; similarity_score: 12.8964
hiring_manager: pouloum78; similarity_score: 12.8099
hiring_manager: xasos; similarity_score: 12.7490
hiring_manager: astralship; similarity_score: 12.7331
hiring_manager: stockninja; similarity_score: 12.5984
hiring_manager: hglaser; similarity_score: 12.5838
hiring_manager: Andrew_Metail; similarity_score: 12.4590
hiring_manager: DLarsen; similarity_score: 12.4416
hiring_manager: burnout1540; similarity_score: 12.4352
hiring_manager: vonnik; similarity_score: 12.3893
hiring_manager: davidshariff; similarity_score: 12.3809
hiring_manager: artursapek; similarity_score: 12.3711
hiring_manager: AaronLasseigne; similarity_score: 12.3508
hiring_manager: knes; similarity_score: 12.3176
hiring_manager: g06; similarity_score: 12.3142
hiring_manager: geori; similarity_score: 12.3138
hiring_manager: tharshan09; similarity_score: 12.3004
hiring_manager: rvivek; similarity_score: 12.2127
hiring_manager: retrodict; similarity_score: 12.1527
hiring_manager: xiongww; similarity_score: 12.0892
hiring_manager: JJMalina; similarity_score: 12.0708
hiring_manager: bostonpete; similarity_score: 12.0481
hiring_manager: vtuulos; similarity_score: 12.0082
hiring_manager: wiredd; similarity_score: 12.0032
hiring_manager: pandamcbonesaw; similarity_score: 11.9075
hiring_manager: d0m; similarity_score: 11.8606
hiring_manager: olivercameron; similarity_score: 11.8549
hiring_manager: tobinharris; similarity_score: 11.8012
hiring_manager: fchollet; similarity_score: 11.7930
hiring_manager: sid6376; similarity_score: 11.7647
hiring_manager: scottaj2; similarity_score: 11.6713
hiring_manager: marybheine; similarity_score: 11.6527
hiring_manager: davidw; similarity_score: 11.6319
hiring_manager: kbar13; similarity_score: 11.5942
hiring_manager: siddarthd2919; similarity_score: 11.5830
hiring_manager: mattnguyen; similarity_score: 11.5138
hiring_manager: nathanwdavis; similarity_score: 11.5107
hiring_manager: dangoldin; similarity_score: 11.4917
hiring_manager: chrisduesing; similarity_score: 11.4199
hiring_manager: dmritard96; similarity_score: 11.3821
hiring_manager: rprovey; similarity_score: 11.3708
hiring_manager: jack7890; similarity_score: 11.3416
hiring_manager: andrewmb; similarity_score: 11.3350
hiring_manager: darrenkopp; similarity_score: 11.2927
hiring_manager: nikhaldi; similarity_score: 11.2729
hiring_manager: gajomi; similarity_score: 11.2412
hiring_manager: klochner; similarity_score: 11.2135
hiring_manager: alexose; similarity_score: 11.1877
hiring_manager: mateodelnorte; similarity_score: 11.1566
hiring_manager: jlees; similarity_score: 11.0740
hiring_manager: wattenberger; similarity_score: 11.0599
hiring_manager: fortpoint; similarity_score: 10.9839
hiring_manager: zacharypinter; similarity_score: 10.8455
hiring_manager: hafabnew; similarity_score: 10.8288
hiring_manager: twymer; similarity_score: 10.7809
hiring_manager: Bahamut; similarity_score: 10.7751
hiring_manager: kdavari; similarity_score: 10.7549
hiring_manager: yonibaciu1; similarity_score: 10.7502
hiring_manager: yesimahuman; similarity_score: 10.7355
hiring_manager: fourier; similarity_score: 10.7142
hiring_manager: zeiler; similarity_score: 10.5839
hiring_manager: FUSAR_rs; similarity_score: 10.5590
hiring_manager: sam; similarity_score: 10.5343
hiring_manager: baran; similarity_score: 10.4868
hiring_manager: sridevizarin; similarity_score: 10.4767
hiring_manager: pwman; similarity_score: 10.4595
hiring_manager: santiycr; similarity_score: 10.4438
hiring_manager: Symbol; similarity_score: 10.4234
hiring_manager: OpenDrapery; similarity_score: 10.4089
hiring_manager: finnh; similarity_score: 10.3585
hiring_manager: infer; similarity_score: 10.3470
hiring_manager: sciurus; similarity_score: 10.3343
hiring_manager: squirrel; similarity_score: 10.3040
hiring_manager: iis_zephyr; similarity_score: 10.2968
