hiring_manager: frb; similarity_score: 27.2024
hiring_manager: dmritard96; similarity_score: 25.4804
hiring_manager: jszumski; similarity_score: 24.9452
hiring_manager: wattenberger; similarity_score: 24.6458
hiring_manager: toreriklinnerud; similarity_score: 24.5577
hiring_manager: rasengan; similarity_score: 24.1509
hiring_manager: dbuxton; similarity_score: 23.9083
hiring_manager: edawerd; similarity_score: 23.7937
hiring_manager: k1w1; similarity_score: 23.7681
hiring_manager: sidjoshi; similarity_score: 23.6162
hiring_manager: lbo; similarity_score: 23.6003
hiring_manager: chrisdl; similarity_score: 23.2172
hiring_manager: grydstedt; similarity_score: 23.1932
hiring_manager: ninetax; similarity_score: 22.8739
hiring_manager: kiyoto; similarity_score: 22.8323
hiring_manager: matlock; similarity_score: 22.7513
hiring_manager: mburst; similarity_score: 22.4561
hiring_manager: yesimahuman; similarity_score: 22.4062
hiring_manager: jasoncrawford; similarity_score: 22.3111
hiring_manager: wdewind; similarity_score: 22.2535
hiring_manager: lesleyann25; similarity_score: 22.2428
hiring_manager: kefeizhou; similarity_score: 22.2222
hiring_manager: lsee; similarity_score: 21.9956
hiring_manager: encore2097; similarity_score: 21.9458
hiring_manager: edziubudzik; similarity_score: 21.8914
hiring_manager: nichol4s; similarity_score: 21.8314
hiring_manager: loganfrederick; similarity_score: 21.7194
hiring_manager: gsiener; similarity_score: 21.7189
hiring_manager: jhmaddox; similarity_score: 21.6934
hiring_manager: propellerhat; similarity_score: 21.6400
hiring_manager: reubendoetsch; similarity_score: 21.5202
hiring_manager: marybheine; similarity_score: 21.5162
hiring_manager: 7parkdata; similarity_score: 21.4930
hiring_manager: davidw; similarity_score: 21.3443
hiring_manager: biggitybones; similarity_score: 21.2252
hiring_manager: edent; similarity_score: 21.0313
hiring_manager: amac; similarity_score: 20.9161
hiring_manager: dwiel; similarity_score: 20.9090
hiring_manager: dangoldin; similarity_score: 20.8419
hiring_manager: burnout1540; similarity_score: 20.8370
hiring_manager: rfergie; similarity_score: 20.7833
hiring_manager: spot; similarity_score: 20.7317
hiring_manager: samuelbrin; similarity_score: 20.6225
hiring_manager: spooneybarger; similarity_score: 20.4930
hiring_manager: johnnyg; similarity_score: 20.4220
hiring_manager: dannysu; similarity_score: 20.1803
hiring_manager: milewska; similarity_score: 20.1219
hiring_manager: EmilLondon; similarity_score: 20.0803
hiring_manager: Symbol; similarity_score: 19.9317
hiring_manager: pandamcbonesaw; similarity_score: 19.7889
hiring_manager: antoviaque; similarity_score: 19.7612
hiring_manager: zacharypinter; similarity_score: 19.7303
hiring_manager: jpwagner; similarity_score: 19.6664
hiring_manager: bowmanb; similarity_score: 19.6149
hiring_manager: frisco; similarity_score: 19.5
hiring_manager: doxcf434; similarity_score: 19.3973
hiring_manager: Andrew_Metail; similarity_score: 19.3877
hiring_manager: peter_mcrae; similarity_score: 19.3040
hiring_manager: pouloum78; similarity_score: 19.2607
hiring_manager: zeiler; similarity_score: 19.1956
hiring_manager: uwemaurer; similarity_score: 19.1946
hiring_manager: infer; similarity_score: 19.1639
hiring_manager: pohungc; similarity_score: 19.1637
hiring_manager: nkoren; similarity_score: 19.1011
hiring_manager: brettz; similarity_score: 18.9616
hiring_manager: maramaemartin; similarity_score: 18.9311
hiring_manager: jlees; similarity_score: 18.8937
hiring_manager: xiongww; similarity_score: 18.8612
hiring_manager: jennifer_scroll; similarity_score: 18.8325
hiring_manager: tqn; similarity_score: 18.7969
hiring_manager: ndonnellan; similarity_score: 18.7919
hiring_manager: alphast0rm; similarity_score: 18.7540
hiring_manager: samingrassia; similarity_score: 18.7271
hiring_manager: FUSAR_rs; similarity_score: 18.6754
hiring_manager: mapdock; similarity_score: 18.5740
hiring_manager: andrewmb; similarity_score: 18.5351
hiring_manager: jason_allen; similarity_score: 18.4095
hiring_manager: djyoo; similarity_score: 18.3212
hiring_manager: greenjellybean; similarity_score: 18.2198
hiring_manager: pwman; similarity_score: 18.2127
hiring_manager: espinchi; similarity_score: 18.1818
hiring_manager: pashabitz; similarity_score: 18.1401
hiring_manager: meaydinli; similarity_score: 18.1140
hiring_manager: scottaj2; similarity_score: 18.0164
hiring_manager: joanatello; similarity_score: 17.9551
hiring_manager: frabcus; similarity_score: 17.9461
hiring_manager: Clairesheng; similarity_score: 17.9142
hiring_manager: knes; similarity_score: 17.8852
hiring_manager: vtuulos; similarity_score: 17.8807
hiring_manager: carlatqueue; similarity_score: 17.8736
hiring_manager: chollida1; similarity_score: 17.8707
hiring_manager: jack7890; similarity_score: 17.8374
hiring_manager: eric_romo; similarity_score: 17.7810
hiring_manager: twymer; similarity_score: 17.7800
hiring_manager: meritt; similarity_score: 17.7580
hiring_manager: cllns; similarity_score: 17.7402
hiring_manager: Synergyse; similarity_score: 17.6803
hiring_manager: feverishaaron; similarity_score: 17.6470
hiring_manager: hglaser; similarity_score: 17.6267
hiring_manager: Equiet; similarity_score: 17.6072
hiring_manager: DLarsen; similarity_score: 17.5956
hiring_manager: jkoc; similarity_score: 17.5955
hiring_manager: thethimble; similarity_score: 17.5874
hiring_manager: statictype; similarity_score: 17.5787
hiring_manager: dalys; similarity_score: 17.5777
hiring_manager: realdlee; similarity_score: 17.5602
hiring_manager: Renat; similarity_score: 17.5182
hiring_manager: asanwal; similarity_score: 17.4442
hiring_manager: BGCivis; similarity_score: 17.4168
hiring_manager: morgante; similarity_score: 17.3606
hiring_manager: yavery; similarity_score: 17.3515
hiring_manager: swampthing; similarity_score: 17.3119
hiring_manager: breckognize; similarity_score: 17.2955
hiring_manager: Theranos; similarity_score: 17.2949
hiring_manager: paradox95; similarity_score: 17.2839
hiring_manager: davidshariff; similarity_score: 17.2790
hiring_manager: wiredd; similarity_score: 17.2200
hiring_manager: cwc22; similarity_score: 17.2192
hiring_manager: retrodict; similarity_score: 17.2169
hiring_manager: escherize; similarity_score: 17.2106
hiring_manager: kdavari; similarity_score: 17.2071
hiring_manager: JayNeely; similarity_score: 17.0950
hiring_manager: clieu1; similarity_score: 17.0259
hiring_manager: gnidan; similarity_score: 16.9627
hiring_manager: dh0913; similarity_score: 16.8918
hiring_manager: conversica; similarity_score: 16.8544
hiring_manager: murtza; similarity_score: 16.8106
hiring_manager: brendan_gill; similarity_score: 16.8052
hiring_manager: damon_c; similarity_score: 16.6944
hiring_manager: stockninja; similarity_score: 16.6924
hiring_manager: bjelkeman-again; similarity_score: 16.6473
hiring_manager: jjnvdm; similarity_score: 16.6116
hiring_manager: DustinCalim; similarity_score: 16.5779
hiring_manager: mmelin; similarity_score: 16.5123
hiring_manager: kevinschumacher; similarity_score: 16.5003
hiring_manager: jonbischke; similarity_score: 16.4653
hiring_manager: geori; similarity_score: 16.3765
hiring_manager: imdane; similarity_score: 16.3652
hiring_manager: g06; similarity_score: 16.3546
hiring_manager: kscottz; similarity_score: 16.3374
hiring_manager: eugeneiiim; similarity_score: 16.2330
hiring_manager: mattnguyen; similarity_score: 16.1943
hiring_manager: JangoSteve; similarity_score: 16.0996
hiring_manager: cairo140; similarity_score: 16.0887
hiring_manager: darrenkopp; similarity_score: 16.0846
hiring_manager: beaverfox; similarity_score: 16.0337
hiring_manager: jontonsoup; similarity_score: 15.8794
hiring_manager: oms1005; similarity_score: 15.8638
hiring_manager: mpdaugherty; similarity_score: 15.8617
hiring_manager: S4M; similarity_score: 15.8562
hiring_manager: noobuser123; similarity_score: 15.7507
hiring_manager: clarkevans; similarity_score: 15.7397
hiring_manager: hgrttn; similarity_score: 15.6565
hiring_manager: minichate; similarity_score: 15.5370
hiring_manager: waseems; similarity_score: 15.5284
hiring_manager: zaidos; similarity_score: 15.4624
hiring_manager: hafabnew; similarity_score: 15.3921
hiring_manager: austinhallock; similarity_score: 15.3449
hiring_manager: sethbannon; similarity_score: 15.2275
hiring_manager: asolove; similarity_score: 15.1885
hiring_manager: Cyranix; similarity_score: 15.1616
hiring_manager: ivanzhao; similarity_score: 15.1539
hiring_manager: fuelfive; similarity_score: 15.1458
hiring_manager: sb_ba; similarity_score: 15.1200
hiring_manager: ben336; similarity_score: 15.1156
hiring_manager: diego; similarity_score: 15.1100
hiring_manager: finnh; similarity_score: 15.1051
hiring_manager: nikhaldi; similarity_score: 15.0730
hiring_manager: santiycr; similarity_score: 15.0289
hiring_manager: sridevizarin; similarity_score: 14.9799
hiring_manager: darrennix; similarity_score: 14.8997
hiring_manager: tianyicui; similarity_score: 14.8885
hiring_manager: gajomi; similarity_score: 14.8783
hiring_manager: capkutay; similarity_score: 14.8705
hiring_manager: zerr; similarity_score: 14.8619
hiring_manager: daveoflynn; similarity_score: 14.8404
hiring_manager: JJMalina; similarity_score: 14.8085
hiring_manager: vaughnd; similarity_score: 14.7806
hiring_manager: ILIKEPONIES; similarity_score: 14.7727
hiring_manager: woodhull; similarity_score: 14.6756
hiring_manager: chrisduesing; similarity_score: 14.6133
hiring_manager: tair; similarity_score: 14.5922
hiring_manager: blo; similarity_score: 14.5918
hiring_manager: Mynar; similarity_score: 14.5808
hiring_manager: bsnyder; similarity_score: 14.4893
hiring_manager: roybarberuk; similarity_score: 14.4761
hiring_manager: mrbird; similarity_score: 14.4437
hiring_manager: jarmitage; similarity_score: 14.4259
hiring_manager: kmano8; similarity_score: 14.4163
hiring_manager: bgriggs1; similarity_score: 14.3884
hiring_manager: klochner; similarity_score: 14.3011
hiring_manager: florianf; similarity_score: 14.2765
hiring_manager: mrw34; similarity_score: 14.2162
hiring_manager: bitcrusher; similarity_score: 14.1935
hiring_manager: Blackthorn; similarity_score: 14.1342
hiring_manager: emcienjobs; similarity_score: 14.0221
hiring_manager: snowmaker; similarity_score: 13.9636
hiring_manager: ehberger; similarity_score: 13.8912
hiring_manager: rememberlenny; similarity_score: 13.8740
hiring_manager: annalewis7; similarity_score: 13.8138
hiring_manager: mikebabineau; similarity_score: 13.7961
hiring_manager: sciurus; similarity_score: 13.7634
hiring_manager: sparkman55; similarity_score: 13.7570
hiring_manager: justhw; similarity_score: 13.7339
hiring_manager: svec; similarity_score: 13.6619
hiring_manager: georgespencer; similarity_score: 13.6363
hiring_manager: ssk2; similarity_score: 13.5672
hiring_manager: baran; similarity_score: 13.5235
hiring_manager: lightningstorm; similarity_score: 13.5087
hiring_manager: tharshan09; similarity_score: 13.4228
hiring_manager: rvivek; similarity_score: 13.2559
hiring_manager: astralship; similarity_score: 13.2444
hiring_manager: jorgecastillo; similarity_score: 13.2325
hiring_manager: sqs; similarity_score: 13.2111
hiring_manager: PhantomPhreak; similarity_score: 13.1844
hiring_manager: courtneypowell; similarity_score: 13.1806
hiring_manager: the_gigi; similarity_score: 13.1533
hiring_manager: salar; similarity_score: 13.1471
hiring_manager: 7Figures2Commas; similarity_score: 13.1118
hiring_manager: chrchr; similarity_score: 13.0790
hiring_manager: kcrossisec; similarity_score: 13.0677
hiring_manager: conorgil145; similarity_score: 13.0167
hiring_manager: kenrose; similarity_score: 12.9745
hiring_manager: bootstraponline; similarity_score: 12.8851
hiring_manager: shedd; similarity_score: 12.8823
hiring_manager: khwang; similarity_score: 12.8484
hiring_manager: ashleyjohn; similarity_score: 12.8348
hiring_manager: RaizlabsTalent; similarity_score: 12.8342
hiring_manager: unclesaamm; similarity_score: 12.8266
hiring_manager: jakestein; similarity_score: 12.7751
hiring_manager: miles932; similarity_score: 12.7562
hiring_manager: soundandfeury; similarity_score: 12.7282
