hiring_manager: zacharypinter; similarity_score: 23.8905
hiring_manager: bjelkeman-again; similarity_score: 23.1409
hiring_manager: EmilLondon; similarity_score: 22.4533
hiring_manager: jjnvdm; similarity_score: 22.4104
hiring_manager: chrisduesing; similarity_score: 22.0798
hiring_manager: davidw; similarity_score: 21.6565
hiring_manager: mandoescamilla; similarity_score: 21.4261
hiring_manager: georgespencer; similarity_score: 21.3237
hiring_manager: gnidan; similarity_score: 21.3184
hiring_manager: mapdock; similarity_score: 21.2862
hiring_manager: zeiler; similarity_score: 21.2335
hiring_manager: iis_zephyr; similarity_score: 20.9830
hiring_manager: carlatqueue; similarity_score: 20.7992
hiring_manager: escherize; similarity_score: 20.7792
hiring_manager: stockninja; similarity_score: 20.6617
hiring_manager: asolove; similarity_score: 20.6611
hiring_manager: conorgil145; similarity_score: 20.2863
hiring_manager: cwc22; similarity_score: 20.2340
hiring_manager: jonbischke; similarity_score: 20.1725
hiring_manager: swampthing; similarity_score: 20.1307
hiring_manager: jennifer_scroll; similarity_score: 20.0710
hiring_manager: dwiel; similarity_score: 20.0067
hiring_manager: matlock; similarity_score: 19.9039
hiring_manager: jason_allen; similarity_score: 19.8087
hiring_manager: mburst; similarity_score: 19.7669
hiring_manager: arach; similarity_score: 19.7402
hiring_manager: conversica; similarity_score: 19.7103
hiring_manager: gsiener; similarity_score: 19.6914
hiring_manager: imdane; similarity_score: 19.6907
hiring_manager: gajomi; similarity_score: 19.5682
hiring_manager: Mynar; similarity_score: 19.5463
hiring_manager: jpwagner; similarity_score: 19.5393
hiring_manager: arobbins; similarity_score: 19.4909
hiring_manager: jhmaddox; similarity_score: 19.4895
hiring_manager: annalewis7; similarity_score: 19.4220
hiring_manager: diego; similarity_score: 19.3851
hiring_manager: samingrassia; similarity_score: 19.3849
hiring_manager: mpdaugherty; similarity_score: 19.3736
hiring_manager: _br; similarity_score: 19.3279
hiring_manager: DLarsen; similarity_score: 19.3177
hiring_manager: matm; similarity_score: 19.2482
hiring_manager: Symbol; similarity_score: 19.1622
hiring_manager: scottaj2; similarity_score: 19.1062
hiring_manager: Synergyse; similarity_score: 19.0309
hiring_manager: florianf; similarity_score: 19.0231
hiring_manager: boyd; similarity_score: 19.0166
hiring_manager: paulc; similarity_score: 18.9807
hiring_manager: woodhull; similarity_score: 18.8888
hiring_manager: FUSAR_rs; similarity_score: 18.8728
