hiring_manager: namelezz; similarity_score: 0.97872
hiring_manager: deepsearch; similarity_score: 0.97871
hiring_manager: papaonlegs; similarity_score: 0.95832
hiring_manager: bohnej; similarity_score: 0.95832
hiring_manager: zacharycohn; similarity_score: 0.95832
hiring_manager: siddarthd2919; similarity_score: 0.91999
hiring_manager: BillFranklin; similarity_score: 0.90195
hiring_manager: bostonpete; similarity_score: 0.90195
hiring_manager: xasos; similarity_score: 0.90195
hiring_manager: ogennadi; similarity_score: 0.90195
hiring_manager: neftaly; similarity_score: 0.88461
hiring_manager: joshcanhelp; similarity_score: 0.86792
hiring_manager: OpenDrapery; similarity_score: 0.86791
hiring_manager: metaobject; similarity_score: 0.86791
hiring_manager: iandanforth; similarity_score: 0.86791
hiring_manager: ljlolel; similarity_score: 0.85185
hiring_manager: fourier; similarity_score: 0.85184
hiring_manager: plaban123; similarity_score: 0.83636
hiring_manager: fractalsea; similarity_score: 0.83636
hiring_manager: grinich; similarity_score: 0.83635
hiring_manager: Caleb_Smith; similarity_score: 0.83635
hiring_manager: nathanwdavis; similarity_score: 0.83635
hiring_manager: curiousDog; similarity_score: 0.82142
hiring_manager: quinthar; similarity_score: 0.82141
hiring_manager: smikhanov; similarity_score: 0.80701
hiring_manager: sid6376; similarity_score: 0.80701
hiring_manager: hrehhf; similarity_score: 0.79310
hiring_manager: fuckthepoor; similarity_score: 0.79309
hiring_manager: unclesaamm; similarity_score: 0.79309
hiring_manager: fapjacks; similarity_score: 0.79309
hiring_manager: siscia; similarity_score: 0.79309
hiring_manager: khwang; similarity_score: 0.79309
hiring_manager: HeyLaughingBoy; similarity_score: 0.77966
hiring_manager: _gordee; similarity_score: 0.77965
hiring_manager: emcienjobs; similarity_score: 0.77965
hiring_manager: tobinharris; similarity_score: 0.75409
hiring_manager: st8machine; similarity_score: 0.75409
hiring_manager: jerematasno; similarity_score: 0.75409
hiring_manager: rrpadhy; similarity_score: 0.75409
hiring_manager: vaughnd; similarity_score: 0.75408
hiring_manager: zerr; similarity_score: 0.74193
hiring_manager: kbar13; similarity_score: 0.74192
hiring_manager: Cyranix; similarity_score: 0.74192
hiring_manager: Blackthorn; similarity_score: 0.73015
hiring_manager: chrisbennet; similarity_score: 0.73015
hiring_manager: petrosagg; similarity_score: 0.73015
hiring_manager: rememberlenny; similarity_score: 0.73015
hiring_manager: timanglade; similarity_score: 0.71874
hiring_manager: geverett; similarity_score: 0.70768
hiring_manager: miles932; similarity_score: 0.69696
hiring_manager: manpageman; similarity_score: 0.69696
hiring_manager: frabcus; similarity_score: 0.69696
hiring_manager: g06; similarity_score: 0.66666
hiring_manager: toreriklinnerud; similarity_score: 0.66666
hiring_manager: milewska; similarity_score: 0.66665
hiring_manager: untilHellbanned; similarity_score: 0.65713
hiring_manager: lesleyann25; similarity_score: 0.65713
hiring_manager: reubendoetsch; similarity_score: 0.65713
hiring_manager: doxcf434; similarity_score: 0.65713
hiring_manager: spot; similarity_score: 0.63888
hiring_manager: edent; similarity_score: 0.63888
hiring_manager: greenjellybean; similarity_score: 0.63013
hiring_manager: darrennix; similarity_score: 0.63012
hiring_manager: beaverfox; similarity_score: 0.62162
hiring_manager: cllns; similarity_score: 0.62161
hiring_manager: pouloum78; similarity_score: 0.61333
hiring_manager: justhw; similarity_score: 0.61332
hiring_manager: dalys; similarity_score: 0.60525
hiring_manager: roybarberuk; similarity_score: 0.59740
hiring_manager: yavery; similarity_score: 0.59739
hiring_manager: S4M; similarity_score: 0.58974
hiring_manager: ugh123; similarity_score: 0.58227
hiring_manager: ninetax; similarity_score: 0.57499
hiring_manager: k1w1; similarity_score: 0.56097
hiring_manager: finnh; similarity_score: 0.56096
hiring_manager: feverishaaron; similarity_score: 0.55421
hiring_manager: amac; similarity_score: 0.53487
hiring_manager: burnout1540; similarity_score: 0.53487
hiring_manager: edziubudzik; similarity_score: 0.52873
hiring_manager: imdane; similarity_score: 0.52272
hiring_manager: jorgecastillo; similarity_score: 0.52272
hiring_manager: samuelbrin; similarity_score: 0.52272
hiring_manager: biomimic; similarity_score: 0.52272
hiring_manager: pwman; similarity_score: 0.51685
hiring_manager: murtza; similarity_score: 0.51111
hiring_manager: lbo; similarity_score: 0.51110
hiring_manager: kefeizhou; similarity_score: 0.51110
hiring_manager: pohungc; similarity_score: 0.50548
