hiring_manager: mmelin; similarity_score: 0.23917
hiring_manager: ugh123; similarity_score: 0.23796
hiring_manager: brettz; similarity_score: 0.23758
hiring_manager: jsaxton86; similarity_score: 0.23515
hiring_manager: morgante; similarity_score: 0.23466
hiring_manager: dmritard96; similarity_score: 0.23281
hiring_manager: samuelbrin; similarity_score: 0.23262
hiring_manager: peter_mcrae; similarity_score: 0.22823
hiring_manager: untilHellbanned; similarity_score: 0.22727
hiring_manager: artursapek; similarity_score: 0.22699
hiring_manager: dbuxton; similarity_score: 0.22626
hiring_manager: 7parkdata; similarity_score: 0.22466
hiring_manager: greenjellybean; similarity_score: 0.22459
hiring_manager: robg; similarity_score: 0.22352
hiring_manager: wattenberger; similarity_score: 0.22256
hiring_manager: vtuulos; similarity_score: 0.22147
hiring_manager: carlatqueue; similarity_score: 0.22138
hiring_manager: kiyoto; similarity_score: 0.22132
hiring_manager: fchollet; similarity_score: 0.22131
hiring_manager: gajomi; similarity_score: 0.22116
hiring_manager: wdewind; similarity_score: 0.21984
hiring_manager: spooneybarger; similarity_score: 0.21951
hiring_manager: edent; similarity_score: 0.21925
hiring_manager: annalewis7; similarity_score: 0.21869
hiring_manager: andrewmb; similarity_score: 0.21815
hiring_manager: jdjdjd; similarity_score: 0.21812
hiring_manager: dangoldin; similarity_score: 0.21783
hiring_manager: jszumski; similarity_score: 0.21782
hiring_manager: encore2097; similarity_score: 0.21760
hiring_manager: yonibaciu1; similarity_score: 0.21726
hiring_manager: matlock; similarity_score: 0.21686
hiring_manager: frabcus; similarity_score: 0.21657
hiring_manager: realdlee; similarity_score: 0.21647
hiring_manager: Equiet; similarity_score: 0.21631
hiring_manager: rasengan; similarity_score: 0.21607
hiring_manager: rfergie; similarity_score: 0.21604
hiring_manager: yegg; similarity_score: 0.21586
hiring_manager: ivanzhao; similarity_score: 0.21513
hiring_manager: finnh; similarity_score: 0.21390
hiring_manager: kevinschumacher; similarity_score: 0.21273
hiring_manager: samingrassia; similarity_score: 0.21262
hiring_manager: lsee; similarity_score: 0.21217
hiring_manager: FreshPuzzles; similarity_score: 0.21208
hiring_manager: frb; similarity_score: 0.21172
hiring_manager: johnnyg; similarity_score: 0.21164
hiring_manager: Symbol; similarity_score: 0.21142
hiring_manager: feverishaaron; similarity_score: 0.21122
hiring_manager: mattnguyen; similarity_score: 0.21059
hiring_manager: hgrttn; similarity_score: 0.21001
hiring_manager: marybheine; similarity_score: 0.20967
hiring_manager: FUSAR_rs; similarity_score: 0.20939
hiring_manager: JayNeely; similarity_score: 0.20925
hiring_manager: kdavari; similarity_score: 0.20911
hiring_manager: espinchi; similarity_score: 0.20865
hiring_manager: joanatello; similarity_score: 0.20858
hiring_manager: milewska; similarity_score: 0.20855
hiring_manager: bowmanb; similarity_score: 0.20847
hiring_manager: uwemaurer; similarity_score: 0.20827
hiring_manager: florianf; similarity_score: 0.20759
hiring_manager: Renat; similarity_score: 0.20754
hiring_manager: k1w1; similarity_score: 0.20588
hiring_manager: maramaemartin; similarity_score: 0.20558
hiring_manager: baran; similarity_score: 0.20543
hiring_manager: chollida1; similarity_score: 0.20541
hiring_manager: davidw; similarity_score: 0.20515
hiring_manager: ehberger; similarity_score: 0.20465
hiring_manager: paradox95; similarity_score: 0.20424
hiring_manager: geori; similarity_score: 0.20356
hiring_manager: alphast0rm; similarity_score: 0.20328
hiring_manager: eric_romo; similarity_score: 0.20302
hiring_manager: zacharypinter; similarity_score: 0.20299
hiring_manager: TheMakeA; similarity_score: 0.20289
hiring_manager: jack7890; similarity_score: 0.20119
hiring_manager: ssk2; similarity_score: 0.20105
hiring_manager: sidjoshi; similarity_score: 0.20092
