hiring_manager: brettz; similarity_score: 29.6795
hiring_manager: yavery; similarity_score: 27.1008
hiring_manager: salar; similarity_score: 26.0152
hiring_manager: peter_mcrae; similarity_score: 25.7971
hiring_manager: dbuxton; similarity_score: 25.3588
hiring_manager: florianf; similarity_score: 25.3541
hiring_manager: morgante; similarity_score: 24.8037
hiring_manager: FUSAR_rs; similarity_score: 24.5793
hiring_manager: roybarberuk; similarity_score: 24.0352
hiring_manager: clieu1; similarity_score: 24.0096
hiring_manager: eric_romo; similarity_score: 23.6453
hiring_manager: ben336; similarity_score: 23.4355
hiring_manager: darrenkopp; similarity_score: 23.0108
hiring_manager: annalewis7; similarity_score: 22.7081
hiring_manager: uwemaurer; similarity_score: 22.4201
hiring_manager: ssk2; similarity_score: 22.2080
hiring_manager: alexk; similarity_score: 22.2075
hiring_manager: chrisduesing; similarity_score: 22.1709
hiring_manager: amac; similarity_score: 22.0907
hiring_manager: mrw34; similarity_score: 21.9560
hiring_manager: milewska; similarity_score: 21.8787
hiring_manager: feverishaaron; similarity_score: 21.7343
hiring_manager: jlees; similarity_score: 21.6842
hiring_manager: mmelin; similarity_score: 21.6825
hiring_manager: Renat; similarity_score: 21.4076
hiring_manager: reubendoetsch; similarity_score: 21.3793
hiring_manager: alexose; similarity_score: 21.2192
hiring_manager: cwc22; similarity_score: 21.0770
hiring_manager: nichol4s; similarity_score: 20.7171
hiring_manager: baran; similarity_score: 20.6943
hiring_manager: soundandfeury; similarity_score: 20.6313
hiring_manager: Andrew_Metail; similarity_score: 20.4811
hiring_manager: mattnguyen; similarity_score: 20.4630
hiring_manager: zacharypinter; similarity_score: 20.4163
hiring_manager: encore2097; similarity_score: 20.2614
hiring_manager: edziubudzik; similarity_score: 20.2202
hiring_manager: RaizlabsTalent; similarity_score: 20.1298
hiring_manager: d0m; similarity_score: 20.1142
hiring_manager: carlatqueue; similarity_score: 20.0865
hiring_manager: lesleyann25; similarity_score: 20.0854
hiring_manager: jhmaddox; similarity_score: 20.0721
hiring_manager: jszumski; similarity_score: 20.0325
hiring_manager: yesimahuman; similarity_score: 20.0
hiring_manager: jack7890; similarity_score: 19.9288
hiring_manager: rfergie; similarity_score: 19.8555
hiring_manager: dangoldin; similarity_score: 19.7549
hiring_manager: sridevizarin; similarity_score: 19.7142
