hiring_manager: RaizlabsTalent; similarity_score: 28.4193
hiring_manager: mpdaugherty; similarity_score: 26.6296
hiring_manager: matlock; similarity_score: 25.9953
hiring_manager: yonibaciu1; similarity_score: 25.7195
hiring_manager: rfergie; similarity_score: 25.1554
hiring_manager: stockninja; similarity_score: 24.5203
hiring_manager: zacharypinter; similarity_score: 24.0700
hiring_manager: artursapek; similarity_score: 24.0545
hiring_manager: FUSAR_rs; similarity_score: 24.0328
hiring_manager: dangoldin; similarity_score: 23.8297
hiring_manager: darrenkopp; similarity_score: 23.4899
hiring_manager: chrisdl; similarity_score: 23.3951
hiring_manager: pwman; similarity_score: 23.3406
hiring_manager: mrw34; similarity_score: 23.0184
hiring_manager: Clairesheng; similarity_score: 22.9992
hiring_manager: mburst; similarity_score: 22.9800
hiring_manager: gajomi; similarity_score: 22.8356
hiring_manager: 7parkdata; similarity_score: 22.7561
hiring_manager: rprovey; similarity_score: 22.7307
hiring_manager: Symbol; similarity_score: 22.6369
hiring_manager: jszumski; similarity_score: 22.5909
hiring_manager: mrbird; similarity_score: 22.5823
hiring_manager: nichol4s; similarity_score: 22.5474
hiring_manager: paradox95; similarity_score: 22.5047
hiring_manager: yesimahuman; similarity_score: 22.4988
hiring_manager: scottaj2; similarity_score: 22.4351
hiring_manager: Mynar; similarity_score: 22.3669
hiring_manager: salar; similarity_score: 22.3498
hiring_manager: olivercameron; similarity_score: 22.2631
hiring_manager: uwemaurer; similarity_score: 22.0640
hiring_manager: jlees; similarity_score: 22.0634
hiring_manager: sam; similarity_score: 22.0487
hiring_manager: Equiet; similarity_score: 21.9016
hiring_manager: hglaser; similarity_score: 21.7391
hiring_manager: swampthing; similarity_score: 21.6768
hiring_manager: lbo; similarity_score: 21.6654
hiring_manager: baran; similarity_score: 21.5707
hiring_manager: kenrose; similarity_score: 21.5195
hiring_manager: bgriggs1; similarity_score: 21.3941
hiring_manager: brettz; similarity_score: 21.3770
hiring_manager: fuelfive; similarity_score: 21.3613
hiring_manager: drpancake; similarity_score: 21.2851
hiring_manager: thethimble; similarity_score: 21.2837
