hiring_manager: brettz; similarity_score: 31.0606
hiring_manager: peter_mcrae; similarity_score: 28.64
hiring_manager: drpancake; similarity_score: 26.7317
hiring_manager: Equiet; similarity_score: 25.7575
hiring_manager: kefeizhou; similarity_score: 25.0284
hiring_manager: yegg; similarity_score: 24.9516
hiring_manager: dbuxton; similarity_score: 24.1992
hiring_manager: TheMakeA; similarity_score: 23.8410
hiring_manager: annalewis7; similarity_score: 23.7960
hiring_manager: johnnyg; similarity_score: 23.7458
hiring_manager: k1w1; similarity_score: 23.6220
hiring_manager: imdane; similarity_score: 23.4234
hiring_manager: toreriklinnerud; similarity_score: 23.2558
hiring_manager: realdlee; similarity_score: 22.8796
hiring_manager: ninetax; similarity_score: 22.6666
hiring_manager: carlatqueue; similarity_score: 22.6341
hiring_manager: spot; similarity_score: 22.6285
hiring_manager: samuelbrin; similarity_score: 22.5165
hiring_manager: dangoldin; similarity_score: 22.4489
hiring_manager: 7parkdata; similarity_score: 22.4101
hiring_manager: finnh; similarity_score: 22.2509
hiring_manager: eric_romo; similarity_score: 21.6911
hiring_manager: Mynar; similarity_score: 21.4129
hiring_manager: lbo; similarity_score: 21.3963
hiring_manager: Renat; similarity_score: 21.3938
hiring_manager: jack7890; similarity_score: 21.3279
hiring_manager: FUSAR_rs; similarity_score: 21.1802
hiring_manager: yavery; similarity_score: 21.1678
hiring_manager: mmelin; similarity_score: 21.1143
hiring_manager: gajomi; similarity_score: 20.9777
hiring_manager: chrisbennet; similarity_score: 20.9492
hiring_manager: mrw34; similarity_score: 20.8302
hiring_manager: reubendoetsch; similarity_score: 20.8108
hiring_manager: knes; similarity_score: 20.7308
hiring_manager: uwemaurer; similarity_score: 20.7066
hiring_manager: andrewmb; similarity_score: 20.6572
hiring_manager: Symbol; similarity_score: 20.6375
hiring_manager: florianf; similarity_score: 20.4368
hiring_manager: milewska; similarity_score: 20.2531
hiring_manager: rfergie; similarity_score: 20.2453
hiring_manager: vaughnd; similarity_score: 20.2360
hiring_manager: edent; similarity_score: 20.1117
hiring_manager: retrodict; similarity_score: 20.0983
hiring_manager: bgriggs1; similarity_score: 20.0883
hiring_manager: clarkevans; similarity_score: 20.0857
hiring_manager: salar; similarity_score: 20.0553
hiring_manager: wattenberger; similarity_score: 20.0175
hiring_manager: ugh123; similarity_score: 19.9445
hiring_manager: S4M; similarity_score: 19.9108
hiring_manager: JayNeely; similarity_score: 19.8571
hiring_manager: mrbird; similarity_score: 19.8060
hiring_manager: amac; similarity_score: 19.6832
hiring_manager: pouloum78; similarity_score: 19.6026
hiring_manager: espinchi; similarity_score: 19.5618
hiring_manager: jszumski; similarity_score: 19.4899
hiring_manager: jasoncrawford; similarity_score: 19.4669
hiring_manager: fchollet; similarity_score: 19.4192
hiring_manager: chrisdl; similarity_score: 19.0782
hiring_manager: roybarberuk; similarity_score: 19.0476
hiring_manager: hglaser; similarity_score: 19.0020
hiring_manager: morgante; similarity_score: 18.8811
hiring_manager: clieu1; similarity_score: 18.8802
hiring_manager: chrisduesing; similarity_score: 18.7265
hiring_manager: omarish; similarity_score: 18.5983
hiring_manager: zerr; similarity_score: 18.5351
hiring_manager: doxcf434; similarity_score: 18.5044
hiring_manager: stockninja; similarity_score: 18.4652
hiring_manager: ehberger; similarity_score: 18.4381
hiring_manager: ljlolel; similarity_score: 18.4027
hiring_manager: asolove; similarity_score: 18.3850
hiring_manager: santiycr; similarity_score: 18.3028
hiring_manager: pohungc; similarity_score: 18.2857
hiring_manager: wiredd; similarity_score: 18.2180
hiring_manager: manpageman; similarity_score: 18.1560
hiring_manager: propellerhat; similarity_score: 17.9366
hiring_manager: feverishaaron; similarity_score: 17.9257
hiring_manager: breckognize; similarity_score: 17.8593
hiring_manager: kbar13; similarity_score: 17.8571
hiring_manager: jorgecastillo; similarity_score: 17.8343
hiring_manager: frabcus; similarity_score: 17.8082
hiring_manager: chollida1; similarity_score: 17.7777
hiring_manager: bowmanb; similarity_score: 17.7105
hiring_manager: alexk; similarity_score: 17.6428
hiring_manager: murtza; similarity_score: 17.6
hiring_manager: sciurus; similarity_score: 17.5173
hiring_manager: twymer; similarity_score: 17.4621
hiring_manager: yesimahuman; similarity_score: 17.4157
hiring_manager: HeyLaughingBoy; similarity_score: 17.3611
hiring_manager: maramaemartin; similarity_score: 17.3437
hiring_manager: nschuett; similarity_score: 17.3364
hiring_manager: baran; similarity_score: 17.3263
hiring_manager: vtuulos; similarity_score: 17.2999
hiring_manager: justhw; similarity_score: 17.2989
hiring_manager: damon_c; similarity_score: 17.2972
hiring_manager: alphast0rm; similarity_score: 17.2897
hiring_manager: hgrttn; similarity_score: 17.2387
hiring_manager: dannysu; similarity_score: 17.1885
hiring_manager: fortpoint; similarity_score: 17.1371
hiring_manager: DLarsen; similarity_score: 17.0841
hiring_manager: escherize; similarity_score: 16.9971
hiring_manager: 7Figures2Commas; similarity_score: 16.9919
hiring_manager: Theranos; similarity_score: 16.9823
hiring_manager: ssk2; similarity_score: 16.9798
hiring_manager: astralship; similarity_score: 16.9769
hiring_manager: spooneybarger; similarity_score: 16.9756
hiring_manager: dalys; similarity_score: 16.9696
hiring_manager: zacharypinter; similarity_score: 16.9242
hiring_manager: lesleyann25; similarity_score: 16.8734
hiring_manager: rememberlenny; similarity_score: 16.8674
hiring_manager: jkoc; similarity_score: 16.8598
hiring_manager: mandoescamilla; similarity_score: 16.8557
hiring_manager: yonibaciu1; similarity_score: 16.8384
hiring_manager: encore2097; similarity_score: 16.8190
hiring_manager: svec; similarity_score: 16.7647
hiring_manager: zeiler; similarity_score: 16.7101
hiring_manager: burnout1540; similarity_score: 16.7058
hiring_manager: PhantomPhreak; similarity_score: 16.6666
hiring_manager: ashleyjohn; similarity_score: 16.5898
hiring_manager: jjnvdm; similarity_score: 16.5695
hiring_manager: miles932; similarity_score: 16.5289
hiring_manager: dh0913; similarity_score: 16.5155
hiring_manager: jason_allen; similarity_score: 16.3787
hiring_manager: the_gigi; similarity_score: 16.3608
hiring_manager: edziubudzik; similarity_score: 16.3406
hiring_manager: kenrose; similarity_score: 16.1504
hiring_manager: jdjdjd; similarity_score: 16.0979
hiring_manager: timanglade; similarity_score: 16.0883
hiring_manager: jakestein; similarity_score: 16.0469
hiring_manager: fheisler; similarity_score: 16.0360
hiring_manager: vaxtrac; similarity_score: 16.0263
hiring_manager: rrpadhy; similarity_score: 16.0
hiring_manager: kdavari; similarity_score: 15.9935
hiring_manager: djyoo; similarity_score: 15.9547
hiring_manager: d0m; similarity_score: 15.9259
hiring_manager: mikebabineau; similarity_score: 15.8761
hiring_manager: olivercameron; similarity_score: 15.7184
hiring_manager: gsiener; similarity_score: 15.6886
hiring_manager: BMarkmann; similarity_score: 15.6823
hiring_manager: mburst; similarity_score: 15.5880
hiring_manager: emcienjobs; similarity_score: 15.5363
hiring_manager: wdewind; similarity_score: 15.5187
hiring_manager: oms1005; similarity_score: 15.5144
hiring_manager: FreshPuzzles; similarity_score: 15.5026
hiring_manager: edawerd; similarity_score: 15.4838
hiring_manager: sinak; similarity_score: 15.4553
hiring_manager: choult; similarity_score: 15.4512
hiring_manager: soundandfeury; similarity_score: 15.4501
hiring_manager: conversica; similarity_score: 15.4425
hiring_manager: ILIKEPONIES; similarity_score: 15.3781
hiring_manager: JJMalina; similarity_score: 15.3105
hiring_manager: marybheine; similarity_score: 15.2877
hiring_manager: untilHellbanned; similarity_score: 15.2327
hiring_manager: Caleb_Smith; similarity_score: 15.1012
hiring_manager: Andrew_Metail; similarity_score: 15.0234
hiring_manager: sam; similarity_score: 14.9272
hiring_manager: EmilLondon; similarity_score: 14.8849
hiring_manager: mpdaugherty; similarity_score: 14.8760
hiring_manager: pwman; similarity_score: 14.8558
hiring_manager: loganfrederick; similarity_score: 14.8494
hiring_manager: nichol4s; similarity_score: 14.8255
hiring_manager: martinshen; similarity_score: 14.7712
hiring_manager: unclesaamm; similarity_score: 14.7627
hiring_manager: Synergyse; similarity_score: 14.7430
hiring_manager: meaydinli; similarity_score: 14.7132
hiring_manager: jerematasno; similarity_score: 14.7008
hiring_manager: zaidos; similarity_score: 14.6693
hiring_manager: samingrassia; similarity_score: 14.6252
hiring_manager: davidw; similarity_score: 14.6170
hiring_manager: waseems; similarity_score: 14.5404
hiring_manager: tharshan09; similarity_score: 14.4750
hiring_manager: geori; similarity_score: 14.3974
hiring_manager: klochner; similarity_score: 14.3674
hiring_manager: robg; similarity_score: 14.3514
hiring_manager: ben336; similarity_score: 14.2666
