hiring_manager: 7parkdata; similarity_score: 27.3972
hiring_manager: g06; similarity_score: 26.7111
hiring_manager: edziubudzik; similarity_score: 26.4462
hiring_manager: yegg; similarity_score: 26.0381
hiring_manager: kefeizhou; similarity_score: 25.5434
hiring_manager: murtza; similarity_score: 25.4375
hiring_manager: ninetax; similarity_score: 24.0527
hiring_manager: timanglade; similarity_score: 23.6252
hiring_manager: frabcus; similarity_score: 23.1686
hiring_manager: ugh123; similarity_score: 23.1433
hiring_manager: miles932; similarity_score: 22.9437
hiring_manager: amac; similarity_score: 22.9419
hiring_manager: untilHellbanned; similarity_score: 22.2614
hiring_manager: Equiet; similarity_score: 21.9058
hiring_manager: S4M; similarity_score: 21.8867
hiring_manager: geverett; similarity_score: 21.8323
hiring_manager: frb; similarity_score: 21.6400
hiring_manager: marybheine; similarity_score: 21.0526
hiring_manager: samuelbrin; similarity_score: 20.9150
hiring_manager: vtuulos; similarity_score: 20.6581
hiring_manager: spot; similarity_score: 20.4918
hiring_manager: lsee; similarity_score: 20.4806
hiring_manager: artursapek; similarity_score: 20.3796
hiring_manager: dbuxton; similarity_score: 20.1834
hiring_manager: zerr; similarity_score: 20.1520
hiring_manager: eric_romo; similarity_score: 20.1058
hiring_manager: vaughnd; similarity_score: 20.0
hiring_manager: cwc22; similarity_score: 19.9449
hiring_manager: rfergie; similarity_score: 19.8802
hiring_manager: samingrassia; similarity_score: 19.7686
hiring_manager: st8machine; similarity_score: 19.5899
hiring_manager: chollida1; similarity_score: 19.4492
hiring_manager: Renat; similarity_score: 19.4317
hiring_manager: jdjdjd; similarity_score: 19.4
hiring_manager: unclesaamm; similarity_score: 19.2488
hiring_manager: zacharypinter; similarity_score: 19.2434
hiring_manager: roybarberuk; similarity_score: 19.2429
hiring_manager: loganfrederick; similarity_score: 19.2307
hiring_manager: retrodict; similarity_score: 19.2187
hiring_manager: encore2097; similarity_score: 19.1377
hiring_manager: toreriklinnerud; similarity_score: 19.0825
hiring_manager: lbo; similarity_score: 19.0604
hiring_manager: robg; similarity_score: 18.8559
hiring_manager: brettz; similarity_score: 18.8389
hiring_manager: nichol4s; similarity_score: 18.8158
hiring_manager: choult; similarity_score: 18.5185
hiring_manager: matlock; similarity_score: 18.4306
hiring_manager: drpancake; similarity_score: 18.3673
hiring_manager: sidjoshi; similarity_score: 18.3471
hiring_manager: statictype; similarity_score: 18.2278
hiring_manager: bowmanb; similarity_score: 18.1380
hiring_manager: fourier; similarity_score: 18.1372
hiring_manager: maramaemartin; similarity_score: 18.1178
hiring_manager: jorgecastillo; similarity_score: 18.0685
hiring_manager: hrehhf; similarity_score: 18.0522
hiring_manager: emcienjobs; similarity_score: 17.9640
hiring_manager: kdavari; similarity_score: 17.8995
hiring_manager: peter_mcrae; similarity_score: 17.8861
hiring_manager: johnnyg; similarity_score: 17.8537
hiring_manager: nikhaldi; similarity_score: 17.8090
hiring_manager: biomimic; similarity_score: 17.7997
hiring_manager: dmritard96; similarity_score: 17.7957
hiring_manager: manpageman; similarity_score: 17.7935
hiring_manager: darrenkopp; similarity_score: 17.7747
hiring_manager: FUSAR_rs; similarity_score: 17.7330
hiring_manager: fuckthepoor; similarity_score: 17.7156
hiring_manager: yavery; similarity_score: 17.6730
hiring_manager: feverishaaron; similarity_score: 17.5548
hiring_manager: darrennix; similarity_score: 17.4326
hiring_manager: fractalsea; similarity_score: 17.4129
hiring_manager: grydstedt; similarity_score: 17.3849
hiring_manager: jack7890; similarity_score: 17.1562
hiring_manager: DustinCalim; similarity_score: 17.1301
hiring_manager: jjnvdm; similarity_score: 17.1184
hiring_manager: sam; similarity_score: 17.1070
hiring_manager: dalys; similarity_score: 17.0212
hiring_manager: carlatqueue; similarity_score: 17.0068
hiring_manager: joanatello; similarity_score: 17.0033
hiring_manager: joshcanhelp; similarity_score: 16.9724
hiring_manager: Symbol; similarity_score: 16.9685
hiring_manager: mmelin; similarity_score: 16.8181
hiring_manager: Andrew_Metail; similarity_score: 16.7655
hiring_manager: greenjellybean; similarity_score: 16.6975
hiring_manager: kevinschumacher; similarity_score: 16.5593
hiring_manager: paradox95; similarity_score: 16.4412
hiring_manager: pwman; similarity_score: 16.3372
hiring_manager: realdlee; similarity_score: 16.3030
hiring_manager: jonbischke; similarity_score: 16.2726
hiring_manager: wattenberger; similarity_score: 16.2650
hiring_manager: jason_allen; similarity_score: 16.1971
hiring_manager: rasengan; similarity_score: 16.0616
hiring_manager: olivercameron; similarity_score: 16.0051
hiring_manager: yesimahuman; similarity_score: 16.0048
hiring_manager: BillFranklin; similarity_score: 15.9420
hiring_manager: JayNeely; similarity_score: 15.9108
hiring_manager: andrewmb; similarity_score: 15.8351
hiring_manager: davidshariff; similarity_score: 15.7697
hiring_manager: meaydinli; similarity_score: 15.7426
hiring_manager: soundandfeury; similarity_score: 15.7228
hiring_manager: dangoldin; similarity_score: 15.6824
hiring_manager: mburst; similarity_score: 15.6105
hiring_manager: justhw; similarity_score: 15.5038
hiring_manager: edawerd; similarity_score: 15.4968
hiring_manager: kiyoto; similarity_score: 15.4958
hiring_manager: beaverfox; similarity_score: 15.4135
hiring_manager: axiom; similarity_score: 15.36
hiring_manager: pouloum78; similarity_score: 15.3594
hiring_manager: jszumski; similarity_score: 15.2879
hiring_manager: ljlolel; similarity_score: 15.2424
hiring_manager: jhmaddox; similarity_score: 15.2408
hiring_manager: JJMalina; similarity_score: 15.2016
hiring_manager: khwang; similarity_score: 15.1589
hiring_manager: RaizlabsTalent; similarity_score: 15.1539
hiring_manager: asolove; similarity_score: 15.1329
hiring_manager: Gyffindor; similarity_score: 15.1284
