hiring_manager: TheMakeA; similarity_score: 0.22946
hiring_manager: frb; similarity_score: 0.22495
hiring_manager: imdane; similarity_score: 0.22474
hiring_manager: 7parkdata; similarity_score: 0.22246
hiring_manager: amac; similarity_score: 0.22193
hiring_manager: rememberlenny; similarity_score: 0.22033
hiring_manager: lbo; similarity_score: 0.21969
hiring_manager: statictype; similarity_score: 0.21541
hiring_manager: dalys; similarity_score: 0.21355
hiring_manager: jsaxton86; similarity_score: 0.21232
hiring_manager: brettz; similarity_score: 0.21099
hiring_manager: justhw; similarity_score: 0.21016
hiring_manager: ehberger; similarity_score: 0.20697
hiring_manager: spot; similarity_score: 0.20626
hiring_manager: untilHellbanned; similarity_score: 0.20338
hiring_manager: DustinCalim; similarity_score: 0.20181
hiring_manager: robg; similarity_score: 0.20168
hiring_manager: marybheine; similarity_score: 0.20161
hiring_manager: 7Figures2Commas; similarity_score: 0.20052
hiring_manager: greenjellybean; similarity_score: 0.19999
hiring_manager: jszumski; similarity_score: 0.19966
hiring_manager: carlatqueue; similarity_score: 0.19887
hiring_manager: spooneybarger; similarity_score: 0.19699
hiring_manager: timanglade; similarity_score: 0.19661
hiring_manager: damon_c; similarity_score: 0.19630
hiring_manager: edziubudzik; similarity_score: 0.19628
hiring_manager: mmelin; similarity_score: 0.19585
hiring_manager: pwman; similarity_score: 0.19512
hiring_manager: Equiet; similarity_score: 0.19503
hiring_manager: dbuxton; similarity_score: 0.19462
hiring_manager: rfergie; similarity_score: 0.19341
hiring_manager: ivanzhao; similarity_score: 0.19322
hiring_manager: encore2097; similarity_score: 0.19269
hiring_manager: morgante; similarity_score: 0.19171
hiring_manager: biomimic; similarity_score: 0.19130
hiring_manager: geverett; similarity_score: 0.18983
hiring_manager: drpancake; similarity_score: 0.18949
hiring_manager: yegg; similarity_score: 0.18819
hiring_manager: gajomi; similarity_score: 0.18799
hiring_manager: pohungc; similarity_score: 0.18798
hiring_manager: artursapek; similarity_score: 0.18711
hiring_manager: fchollet; similarity_score: 0.18688
hiring_manager: andrewmb; similarity_score: 0.18673
hiring_manager: ugh123; similarity_score: 0.18644
hiring_manager: peter_mcrae; similarity_score: 0.18601
hiring_manager: dmritard96; similarity_score: 0.18593
hiring_manager: jdjdjd; similarity_score: 0.18586
hiring_manager: realdlee; similarity_score: 0.18582
hiring_manager: kiyoto; similarity_score: 0.18578
hiring_manager: annalewis7; similarity_score: 0.18518
hiring_manager: wdewind; similarity_score: 0.18320
hiring_manager: edent; similarity_score: 0.18305
hiring_manager: dangoldin; similarity_score: 0.18274
hiring_manager: samingrassia; similarity_score: 0.18272
hiring_manager: rasengan; similarity_score: 0.18035
hiring_manager: vtuulos; similarity_score: 0.17986
hiring_manager: rrpadhy; similarity_score: 0.17966
hiring_manager: chrisdl; similarity_score: 0.17913
hiring_manager: murtza; similarity_score: 0.17913
hiring_manager: kefeizhou; similarity_score: 0.17829
hiring_manager: wattenberger; similarity_score: 0.17774
hiring_manager: lsee; similarity_score: 0.17763
hiring_manager: mattnguyen; similarity_score: 0.17712
hiring_manager: joshcanhelp; similarity_score: 0.17627
hiring_manager: burnout1540; similarity_score: 0.17597
hiring_manager: Symbol; similarity_score: 0.17571
hiring_manager: matlock; similarity_score: 0.17536
hiring_manager: eric_romo; similarity_score: 0.17449
hiring_manager: yonibaciu1; similarity_score: 0.17410
hiring_manager: kevinschumacher; similarity_score: 0.17344
hiring_manager: paradox95; similarity_score: 0.17320
hiring_manager: frabcus; similarity_score: 0.17288
hiring_manager: Renat; similarity_score: 0.17250
hiring_manager: FUSAR_rs; similarity_score: 0.17181
hiring_manager: joanatello; similarity_score: 0.16924
hiring_manager: johnnyg; similarity_score: 0.16903
hiring_manager: lesleyann25; similarity_score: 0.16878
hiring_manager: zacharypinter; similarity_score: 0.16839
hiring_manager: kdavari; similarity_score: 0.16756
hiring_manager: edawerd; similarity_score: 0.16711
hiring_manager: uwemaurer; similarity_score: 0.16689
hiring_manager: asanwal; similarity_score: 0.16666
hiring_manager: baran; similarity_score: 0.16646
hiring_manager: maramaemartin; similarity_score: 0.16624
hiring_manager: pouloum78; similarity_score: 0.16610
hiring_manager: mrw34; similarity_score: 0.16572
hiring_manager: ashleyjohn; similarity_score: 0.16553
hiring_manager: nschuett; similarity_score: 0.16473
hiring_manager: espinchi; similarity_score: 0.16412
hiring_manager: FreshPuzzles; similarity_score: 0.16399
hiring_manager: chollida1; similarity_score: 0.16359
hiring_manager: retrodict; similarity_score: 0.16326
hiring_manager: manpageman; similarity_score: 0.16271
hiring_manager: choult; similarity_score: 0.16237
hiring_manager: alphast0rm; similarity_score: 0.16161
hiring_manager: geori; similarity_score: 0.16157
hiring_manager: axiom; similarity_score: 0.16093
hiring_manager: florianf; similarity_score: 0.16075
hiring_manager: yavery; similarity_score: 0.16060
hiring_manager: hgrttn; similarity_score: 0.15995
hiring_manager: cjbarber; similarity_score: 0.15984
hiring_manager: hglaser; similarity_score: 0.15962
hiring_manager: HeyLaughingBoy; similarity_score: 0.15932
hiring_manager: sidjoshi; similarity_score: 0.15911
hiring_manager: austinhallock; similarity_score: 0.15776
hiring_manager: ssk2; similarity_score: 0.15767
hiring_manager: JayNeely; similarity_score: 0.15748
hiring_manager: salar; similarity_score: 0.15723
hiring_manager: fuelfive; similarity_score: 0.15721
hiring_manager: davidw; similarity_score: 0.15682
hiring_manager: bowmanb; similarity_score: 0.15607
hiring_manager: jorgecastillo; similarity_score: 0.15593
hiring_manager: Mynar; similarity_score: 0.15550
hiring_manager: Theranos; similarity_score: 0.15495
hiring_manager: mrbird; similarity_score: 0.15441
hiring_manager: wiredd; similarity_score: 0.15415
hiring_manager: nichol4s; similarity_score: 0.15384
hiring_manager: emcienjobs; similarity_score: 0.15360
hiring_manager: mburst; similarity_score: 0.15343
hiring_manager: fuckthepoor; similarity_score: 0.15254
hiring_manager: RaizlabsTalent; similarity_score: 0.15250
hiring_manager: clieu1; similarity_score: 0.15229
hiring_manager: squirrel; similarity_score: 0.15160
hiring_manager: jhmaddox; similarity_score: 0.15067
hiring_manager: escherize; similarity_score: 0.15000
