hiring_manager: deepsearch; similarity_score: 0.99999
hiring_manager: namelezz; similarity_score: 0.99247
hiring_manager: papaonlegs; similarity_score: 0.98507
hiring_manager: bohnej; similarity_score: 0.98507
hiring_manager: bostonpete; similarity_score: 0.98506
hiring_manager: zacharycohn; similarity_score: 0.98506
hiring_manager: siddarthd2919; similarity_score: 0.97777
hiring_manager: sid6376; similarity_score: 0.97058
hiring_manager: xasos; similarity_score: 0.97058
hiring_manager: ogennadi; similarity_score: 0.97058
hiring_manager: nathanwdavis; similarity_score: 0.97058
hiring_manager: OpenDrapery; similarity_score: 0.96350
hiring_manager: neftaly; similarity_score: 0.96349
hiring_manager: BillFranklin; similarity_score: 0.96349
hiring_manager: iandanforth; similarity_score: 0.96349
hiring_manager: joshcanhelp; similarity_score: 0.95651
hiring_manager: fractalsea; similarity_score: 0.95651
hiring_manager: metaobject; similarity_score: 0.95651
hiring_manager: curiousDog; similarity_score: 0.95651
hiring_manager: plaban123; similarity_score: 0.95651
hiring_manager: fourier; similarity_score: 0.94964
hiring_manager: Caleb_Smith; similarity_score: 0.94963
hiring_manager: smikhanov; similarity_score: 0.94963
hiring_manager: hrehhf; similarity_score: 0.94963
hiring_manager: fuckthepoor; similarity_score: 0.94963
hiring_manager: siscia; similarity_score: 0.94963
hiring_manager: khwang; similarity_score: 0.94963
hiring_manager: grinich; similarity_score: 0.94285
hiring_manager: quinthar; similarity_score: 0.94285
hiring_manager: fapjacks; similarity_score: 0.94285
hiring_manager: ljlolel; similarity_score: 0.94285
hiring_manager: _gordee; similarity_score: 0.93617
hiring_manager: unclesaamm; similarity_score: 0.92957
hiring_manager: vaughnd; similarity_score: 0.92307
hiring_manager: Blackthorn; similarity_score: 0.92306
hiring_manager: HeyLaughingBoy; similarity_score: 0.92306
hiring_manager: rrpadhy; similarity_score: 0.92306
hiring_manager: kbar13; similarity_score: 0.92306
hiring_manager: st8machine; similarity_score: 0.92306
hiring_manager: Cyranix; similarity_score: 0.91666
hiring_manager: tobinharris; similarity_score: 0.91666
hiring_manager: petrosagg; similarity_score: 0.91665
hiring_manager: chrisbennet; similarity_score: 0.91034
hiring_manager: emcienjobs; similarity_score: 0.90410
hiring_manager: jerematasno; similarity_score: 0.90410
hiring_manager: zerr; similarity_score: 0.90410
hiring_manager: timanglade; similarity_score: 0.89795
hiring_manager: toreriklinnerud; similarity_score: 0.89188
hiring_manager: miles932; similarity_score: 0.89188
hiring_manager: rememberlenny; similarity_score: 0.89188
hiring_manager: geverett; similarity_score: 0.88590
hiring_manager: untilHellbanned; similarity_score: 0.87999
hiring_manager: manpageman; similarity_score: 0.87999
hiring_manager: justhw; similarity_score: 0.87416
hiring_manager: greenjellybean; similarity_score: 0.87416
hiring_manager: frabcus; similarity_score: 0.87416
hiring_manager: g06; similarity_score: 0.87416
hiring_manager: dalys; similarity_score: 0.86841
hiring_manager: doxcf434; similarity_score: 0.86274
hiring_manager: cllns; similarity_score: 0.86274
hiring_manager: edent; similarity_score: 0.86274
hiring_manager: lesleyann25; similarity_score: 0.86274
hiring_manager: reubendoetsch; similarity_score: 0.86273
hiring_manager: milewska; similarity_score: 0.86273
hiring_manager: beaverfox; similarity_score: 0.86273
hiring_manager: S4M; similarity_score: 0.85713
hiring_manager: spot; similarity_score: 0.85713
hiring_manager: roybarberuk; similarity_score: 0.84615
hiring_manager: pouloum78; similarity_score: 0.84615
hiring_manager: ninetax; similarity_score: 0.84075
hiring_manager: ugh123; similarity_score: 0.84075
hiring_manager: yavery; similarity_score: 0.84075
hiring_manager: darrennix; similarity_score: 0.83543
hiring_manager: jorgecastillo; similarity_score: 0.82499
hiring_manager: k1w1; similarity_score: 0.81987
hiring_manager: samuelbrin; similarity_score: 0.80981
hiring_manager: feverishaaron; similarity_score: 0.80487
hiring_manager: amac; similarity_score: 0.79999
hiring_manager: finnh; similarity_score: 0.79999
hiring_manager: lbo; similarity_score: 0.79517
hiring_manager: ehberger; similarity_score: 0.79517
hiring_manager: burnout1540; similarity_score: 0.79517
hiring_manager: edziubudzik; similarity_score: 0.78570
hiring_manager: jack7890; similarity_score: 0.78105
hiring_manager: imdane; similarity_score: 0.77647
hiring_manager: rfergie; similarity_score: 0.77646
hiring_manager: murtza; similarity_score: 0.77192
hiring_manager: biomimic; similarity_score: 0.77192
hiring_manager: pwman; similarity_score: 0.77192
hiring_manager: frb; similarity_score: 0.76743
hiring_manager: pohungc; similarity_score: 0.76743
hiring_manager: kefeizhou; similarity_score: 0.75861
hiring_manager: 7Figures2Commas; similarity_score: 0.75861
hiring_manager: statictype; similarity_score: 0.75428
hiring_manager: marybheine; similarity_score: 0.74999
hiring_manager: realdlee; similarity_score: 0.74999
hiring_manager: TheMakeA; similarity_score: 0.74576
hiring_manager: damon_c; similarity_score: 0.74576
hiring_manager: DustinCalim; similarity_score: 0.74575
hiring_manager: 7parkdata; similarity_score: 0.74156
hiring_manager: ivanzhao; similarity_score: 0.74156
hiring_manager: jsaxton86; similarity_score: 0.73742
hiring_manager: lsee; similarity_score: 0.73742
hiring_manager: yegg; similarity_score: 0.73333
hiring_manager: chrisdl; similarity_score: 0.73332
hiring_manager: retrodict; similarity_score: 0.72927
hiring_manager: frisco; similarity_score: 0.72927
hiring_manager: samingrassia; similarity_score: 0.72927
hiring_manager: annalewis7; similarity_score: 0.72927
hiring_manager: brettz; similarity_score: 0.72527
hiring_manager: kevinschumacher; similarity_score: 0.72527
hiring_manager: eric_romo; similarity_score: 0.72526
hiring_manager: carlatqueue; similarity_score: 0.72526
hiring_manager: andrewmb; similarity_score: 0.71739
hiring_manager: kiyoto; similarity_score: 0.71738
hiring_manager: mmelin; similarity_score: 0.71738
hiring_manager: drpancake; similarity_score: 0.71738
hiring_manager: paradox95; similarity_score: 0.71738
hiring_manager: mattnguyen; similarity_score: 0.71351
hiring_manager: Equiet; similarity_score: 0.70967
hiring_manager: spooneybarger; similarity_score: 0.70967
hiring_manager: artursapek; similarity_score: 0.70587
hiring_manager: JuliaLam; similarity_score: 0.70587
hiring_manager: robg; similarity_score: 0.70587
hiring_manager: uwemaurer; similarity_score: 0.70212
hiring_manager: wattenberger; similarity_score: 0.70211
hiring_manager: yonibaciu1; similarity_score: 0.70211
hiring_manager: encore2097; similarity_score: 0.69840
hiring_manager: jszumski; similarity_score: 0.69473
hiring_manager: nschuett; similarity_score: 0.69109
hiring_manager: dbuxton; similarity_score: 0.69109
hiring_manager: gajomi; similarity_score: 0.69109
hiring_manager: jdjdjd; similarity_score: 0.68749
hiring_manager: cjbarber; similarity_score: 0.68749
hiring_manager: dmritard96; similarity_score: 0.68393
hiring_manager: rasengan; similarity_score: 0.68041
hiring_manager: asanwal; similarity_score: 0.68040
hiring_manager: matlock; similarity_score: 0.68040
hiring_manager: morgante; similarity_score: 0.67346
hiring_manager: austinhallock; similarity_score: 0.67346
hiring_manager: fuelfive; similarity_score: 0.67004
hiring_manager: florianf; similarity_score: 0.67004
hiring_manager: wdewind; similarity_score: 0.67004
hiring_manager: fchollet; similarity_score: 0.66666
hiring_manager: saucelabs; similarity_score: 0.66666
hiring_manager: johnnyg; similarity_score: 0.66665
hiring_manager: maramaemartin; similarity_score: 0.66665
hiring_manager: hgrttn; similarity_score: 0.66665
hiring_manager: dangoldin; similarity_score: 0.65999
hiring_manager: baran; similarity_score: 0.65999
hiring_manager: alphast0rm; similarity_score: 0.65671
hiring_manager: vtuulos; similarity_score: 0.65670
hiring_manager: edawerd; similarity_score: 0.65345
hiring_manager: FUSAR_rs; similarity_score: 0.65024
hiring_manager: Mynar; similarity_score: 0.65024
hiring_manager: Renat; similarity_score: 0.65024
hiring_manager: myom; similarity_score: 0.64390
hiring_manager: ben336; similarity_score: 0.64389
hiring_manager: kdavari; similarity_score: 0.64389
hiring_manager: jjnvdm; similarity_score: 0.64077
hiring_manager: peter_mcrae; similarity_score: 0.64077
hiring_manager: wiredd; similarity_score: 0.64076
