hiring_manager: deepsearch; similarity_score: 0.91666
hiring_manager: namelezz; similarity_score: 0.91665
hiring_manager: papaonlegs; similarity_score: 0.84615
hiring_manager: bohnej; similarity_score: 0.84614
hiring_manager: zacharycohn; similarity_score: 0.78570
hiring_manager: xasos; similarity_score: 0.68749
hiring_manager: siddarthd2919; similarity_score: 0.68749
hiring_manager: bostonpete; similarity_score: 0.68749
hiring_manager: BillFranklin; similarity_score: 0.64705
hiring_manager: neftaly; similarity_score: 0.64705
hiring_manager: ogennadi; similarity_score: 0.64705
hiring_manager: metaobject; similarity_score: 0.61110
hiring_manager: iandanforth; similarity_score: 0.61110
hiring_manager: joshcanhelp; similarity_score: 0.61110
hiring_manager: OpenDrapery; similarity_score: 0.61110
hiring_manager: fourier; similarity_score: 0.57894
hiring_manager: ljlolel; similarity_score: 0.57894
hiring_manager: plaban123; similarity_score: 0.54999
hiring_manager: Caleb_Smith; similarity_score: 0.54999
hiring_manager: nathanwdavis; similarity_score: 0.54999
hiring_manager: grinich; similarity_score: 0.52380
hiring_manager: fractalsea; similarity_score: 0.52380
hiring_manager: curiousDog; similarity_score: 0.52380
hiring_manager: siscia; similarity_score: 0.49999
hiring_manager: sid6376; similarity_score: 0.49999
hiring_manager: fuckthepoor; similarity_score: 0.47825
hiring_manager: quinthar; similarity_score: 0.47825
hiring_manager: fapjacks; similarity_score: 0.47825
hiring_manager: unclesaamm; similarity_score: 0.45832
hiring_manager: khwang; similarity_score: 0.45832
hiring_manager: hrehhf; similarity_score: 0.45832
hiring_manager: smikhanov; similarity_score: 0.45832
hiring_manager: _gordee; similarity_score: 0.43999
hiring_manager: emcienjobs; similarity_score: 0.42307
hiring_manager: HeyLaughingBoy; similarity_score: 0.42307
hiring_manager: bkovacev; similarity_score: 0.42307
hiring_manager: tobinharris; similarity_score: 0.42306
hiring_manager: vaughnd; similarity_score: 0.40740
hiring_manager: st8machine; similarity_score: 0.40739
hiring_manager: rrpadhy; similarity_score: 0.40739
hiring_manager: jerematasno; similarity_score: 0.39285
hiring_manager: kbar13; similarity_score: 0.39285
hiring_manager: petrosagg; similarity_score: 0.37930
hiring_manager: Cyranix; similarity_score: 0.37930
hiring_manager: zerr; similarity_score: 0.37930
hiring_manager: Blackthorn; similarity_score: 0.37930
hiring_manager: chrisbennet; similarity_score: 0.36666
hiring_manager: geverett; similarity_score: 0.36666
hiring_manager: timanglade; similarity_score: 0.35483
hiring_manager: rememberlenny; similarity_score: 0.35483
hiring_manager: miles932; similarity_score: 0.34374
hiring_manager: fnaticshank; similarity_score: 0.33332
hiring_manager: manpageman; similarity_score: 0.33332
hiring_manager: frabcus; similarity_score: 0.31428
hiring_manager: toreriklinnerud; similarity_score: 0.31428
hiring_manager: doxcf434; similarity_score: 0.30555
hiring_manager: untilHellbanned; similarity_score: 0.29729
hiring_manager: reubendoetsch; similarity_score: 0.29729
hiring_manager: lesleyann25; similarity_score: 0.29729
hiring_manager: g06; similarity_score: 0.29729
hiring_manager: milewska; similarity_score: 0.29728
hiring_manager: darrennix; similarity_score: 0.28204
hiring_manager: edent; similarity_score: 0.28204
hiring_manager: greenjellybean; similarity_score: 0.27499
hiring_manager: cllns; similarity_score: 0.27499
hiring_manager: pouloum78; similarity_score: 0.26829
hiring_manager: spot; similarity_score: 0.26828
hiring_manager: beaverfox; similarity_score: 0.26828
hiring_manager: ericbogs; similarity_score: 0.26190
hiring_manager: dalys; similarity_score: 0.25581
hiring_manager: yavery; similarity_score: 0.24443
