hiring_manager: deepsearch; similarity_score: 0.97916
hiring_manager: namelezz; similarity_score: 0.97915
hiring_manager: zacharycohn; similarity_score: 0.95918
hiring_manager: bohnej; similarity_score: 0.95918
hiring_manager: papaonlegs; similarity_score: 0.95917
hiring_manager: xasos; similarity_score: 0.92155
hiring_manager: siddarthd2919; similarity_score: 0.92155
hiring_manager: BillFranklin; similarity_score: 0.90384
hiring_manager: bostonpete; similarity_score: 0.90384
hiring_manager: ogennadi; similarity_score: 0.90383
hiring_manager: OpenDrapery; similarity_score: 0.88678
hiring_manager: fourier; similarity_score: 0.88678
hiring_manager: neftaly; similarity_score: 0.88678
hiring_manager: iandanforth; similarity_score: 0.87037
hiring_manager: fapjacks; similarity_score: 0.87036
hiring_manager: metaobject; similarity_score: 0.87036
hiring_manager: joshcanhelp; similarity_score: 0.87036
hiring_manager: ljlolel; similarity_score: 0.85454
hiring_manager: fractalsea; similarity_score: 0.85454
hiring_manager: nathanwdavis; similarity_score: 0.85453
hiring_manager: plaban123; similarity_score: 0.85453
hiring_manager: grinich; similarity_score: 0.85453
hiring_manager: Caleb_Smith; similarity_score: 0.83928
hiring_manager: sid6376; similarity_score: 0.83928
hiring_manager: smikhanov; similarity_score: 0.83927
hiring_manager: curiousDog; similarity_score: 0.83927
hiring_manager: khwang; similarity_score: 0.82456
hiring_manager: fuckthepoor; similarity_score: 0.82455
hiring_manager: quinthar; similarity_score: 0.82455
hiring_manager: siscia; similarity_score: 0.82455
hiring_manager: _gordee; similarity_score: 0.81034
hiring_manager: hrehhf; similarity_score: 0.81033
hiring_manager: HeyLaughingBoy; similarity_score: 0.79660
hiring_manager: kbar13; similarity_score: 0.79660
hiring_manager: bkovacev; similarity_score: 0.78333
hiring_manager: st8machine; similarity_score: 0.78332
hiring_manager: unclesaamm; similarity_score: 0.78332
hiring_manager: vaughnd; similarity_score: 0.77049
hiring_manager: rrpadhy; similarity_score: 0.77048
hiring_manager: jerematasno; similarity_score: 0.77048
hiring_manager: tobinharris; similarity_score: 0.77048
hiring_manager: emcienjobs; similarity_score: 0.77048
hiring_manager: Cyranix; similarity_score: 0.77048
hiring_manager: chrisbennet; similarity_score: 0.74602
hiring_manager: zerr; similarity_score: 0.74602
hiring_manager: Blackthorn; similarity_score: 0.74602
hiring_manager: petrosagg; similarity_score: 0.74602
hiring_manager: timanglade; similarity_score: 0.73436
hiring_manager: geverett; similarity_score: 0.72307
hiring_manager: manpageman; similarity_score: 0.72307
hiring_manager: miles932; similarity_score: 0.72307
hiring_manager: toreriklinnerud; similarity_score: 0.72307
hiring_manager: rememberlenny; similarity_score: 0.72306
hiring_manager: frabcus; similarity_score: 0.71212
hiring_manager: fnaticshank; similarity_score: 0.71211
hiring_manager: reubendoetsch; similarity_score: 0.71211
hiring_manager: milewska; similarity_score: 0.69117
hiring_manager: untilHellbanned; similarity_score: 0.68115
hiring_manager: g06; similarity_score: 0.68115
hiring_manager: doxcf434; similarity_score: 0.67142
